District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Baksa,18636,13463.22,104,1919.04,0,0,897,521.44,19637,15903.7
Barpeta,29495,40240.11,1133,13604.95,61,1090.28,1435,789.72,32124,55725.06
Biswanath,14107,8996.25,207,2197.96,7,55.13,1154,538.18,15475,11787.52
Bongaigaon,19381,20488.29,1111,15426.81,62,3506.93,1425,797.56,21979,40219.59
Cachar,32527,60186.25,1822,29077.77,111,3631.8,664,988.07,35124,93883.89
Charaideo,5894,7844.45,123,2028.71,4,47.15,100,26.65,6121,9946.96
Chirang,9724,8637.52,115,2407.37,2,624.74,619,488.72,10460,12158.35
Darrang,16943,19967.29,443,6683.55,13,143.11,418,397.01,17817,27190.96
Dhemaji,20639,13718.76,352,4771.16,2,17.1,478,272.82,21471,18779.84
Dhubri,16667,17738.62,545,7506.86,7,574.01,468,645.09,17687,26464.58
Dibrugarh,40636,80240.03,2370,59534.02,156,9298.89,1332,1711.94,44494,150784.88
Dima Hasao,1827,2829.2,83,469.63,2,0.13,3,1.49,1915,3300.45
Goalpara,19339,15512.87,267,5000.57,10,52.31,418,264.65,20034,20830.4
Golaghat,25945,26074.07,1173,17756.03,24,156.51,1415,707.75,28557,44694.36
Hailakandi,6777,9090.02,289,4796.07,42,160.98,412,291.06,7520,14338.13
Hojai,15397,15282.99,439,3223.17,4,12.34,329,326.87,16169,18845.37
Jorhat,29088,55563.99,1474,41663.54,132,15591.48,1042,996.39,31736,113815.4
Kamrup Metro,41666,54084.7,1950,22091.31,283,10477.92,1750,1268.43,45649,87922.36
Karbi Anglong,13896,8332.63,148,1620.3,5,276.91,55,60.78,14104,10290.62
Karimganj,13271,20950.79,527,6470.2,17,783.04,870,566.71,14685,28770.74
Kokrajhar,8275,10646.66,171,3712.33,22,413.21,304,277.94,8772,15050.14
Lakhimpur,33650,31053.03,914,12846.44,18,196.89,3587,1859.28,38169,45955.64
Majuli,3337,3993.16,33,424.94,0,0,329,137.49,3699,4555.59
Morigaon,13549,19514.07,372,3931.99,9,302.6,376,1088.09,14306,24836.75
Nagaon,28296,44309.7,1534,21940.71,43,4756.18,864,1145.78,30737,72152.37
Nalbari,19655,19544.56,443,7747.66,19,192.64,853,634.08,20970,28118.94
Sivasagar,22160,32552.26,1232,19314.88,26,4931.65,1162,563.57,24580,57362.36
Sonitpur,26922,49542.77,1937,30156.94,140,6593.49,697,4872.14,29696,91165.34
South Salmara,1438,2072.52,16,338.59,0,0,31,103.9,1485,2515.01
Tinsukia,29390,57774.56,1836,35851,84,4337.49,954,1557.49,32264,99520.54
Udalguri,14495,12475.43,73,1072.67,2,3.76,243,394.95,14813,13946.81
West Karbi Anglong,1696,621.95,8,53.29,0,0,3,1.08,1707,676.32
