District,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt
Baksa,22015,13030.35,3348,2560.29,10503,9862.56,173,143.06,3743,3645.59,3099,1074.5,5600,4490,27,4.4,23687,7785.87,72195,42596.62
Barpeta,72144,41820.99,5241,4336.81,4580,3646.11,216,98.34,5324,4475.53,23906,5480,42602,44465.04,505,77.13,68609,26785.58,223127,131185.53
Biswanath,32074,17388.92,3991,3202.42,6982,4239.9,52,6.78,5359,4611.26,4397,1586.68,5087,4403.63,80,5.82,35785,14041.33,93807,49486.74
Bongaigaon,24959,13058.32,4381,3023.58,2660,3565.46,108,21.22,1848,2043.41,7125,2443.97,16624,13599.13,801,38.75,35917,15104.34,94423,52898.18
Cachar,75661,45307.34,19795,14415.13,6168,5811,574,112.67,5240,3659.62,17292,7359.16,40723,38088.49,1393,119.92,111795,66257.4,278641,181130.73
Charaideo,14034,8506.01,1288,1038.27,1059,778.72,53,11.3,1918,1743.44,2742,1316.05,1714,1526.69,121,19.39,13428,6631.44,36357,21571.31
Chirang,19299,11051.06,1216,1091.56,11050,8963.76,22,5.04,2441,2428.91,2581,1226.2,6151,4210.54,11,4.13,15452,5747.98,58223,34729.18
Darrang,50847,28659.15,2458,1875.3,2378,1907.77,138,92.51,4803,4147.66,11180,3206.8,24096,24029.29,708,35.22,46055,17899.14,142663,81852.84
Dhemaji,28713,18795.1,3932,3220.26,13764,13834.84,129,25.65,4465,3318.28,5301,2566.6,812,574.33,139,22.03,31155,13975.69,88410,56332.78
Dhubri,50163,26509.73,5563,3791.87,2362,2705.3,177,38.1,3320,2582.33,5285,2549.9,26418,25839.26,575,36.41,58735,24101.06,152598,88153.96
Dibrugarh,83521,49167,11002,9694.54,11842,11736.76,457,678.59,5115,4570.25,28888,10876.21,7114,11390.32,446,63.72,78518,39746.69,226903,137924.08
Dima Hasao,1195,544.56,1060,1281.34,2591,4325.13,83,43.56,1084,827.19,2277,1200.35,987,1754.6,30,2.23,3290,3825.48,12597,13804.44
