district,Agriculture (NPS) No.,Agriculture (NPS) Amt.,MSME (NPS) No.,MSME (NPS) Amt.,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt.,Education (NPS) A/C,Education (NPS) Amt.,Housing (NPS) A/C,Housing (NPS) Amt.,Personal Loans under NPS A/C,Personal Loans under NPS Amt.,Others NPS A/C,Others NPS Amt.,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt.
Baksa,1,1.2,0,0,0,0,1,10.8,15,180.79,137,411.03,1920,2202.01,2074,2805.83
Barpeta,0,0,0,0,0,0,1,6.31,61,735.96,835,3570.17,7713,15502.91,8610,19815.35
Biswanath,0,0,0,0,0,0,0,0,21,144.39,242,978.34,1665,3272.01,1928,4394.74
Bongaigaon,2,2,0,0,0,0,1,11.95,107,1199.95,632,2261.82,5711,13987.56,6453,17463.28
Cachar,0,0,0,0,0,0,0,0,103,1060.69,1420,4529.83,18394,34343.75,19917,39934.27
Charaideo,0,0,0,0,0,0,0,0,4,18.27,51,203.8,1519,1836.24,1574,2058.31
Chirang,0,0,0,0,0,0,0,0,12,74.84,65,179.08,775,3300.19,852,3554.11
Darrang,0,0,0,0,0,0,0,0,66,649.02,731,3308.03,6169,8560.05,6966,12517.1
Dhemaji,0,0,0,0,0,0,1,5.8,20,187.87,367,1700.24,2806,5675.52,3194,7569.43
Dhubri,0,0,0,0,0,0,0,0,67,403.9,361,1205.36,3603,7609.2,4031,9218.46
Dibrugarh,0,0,0,0,0,0,3,36.12,197,1858.43,2078,9220.06,17706,30920.26,19984,42034.87
Dima Hasao,0,0,0,0,0,0,0,0,2,50.75,134,365.09,616,1446.2,752,1862.04
Goalpara,0,0,0,0,0,0,0,0,28,225.89,308,1015.19,2269,4861.92,2605,6103
Golaghat,0,0,0,0,0,0,2,7,40,500.63,771,2477.92,5713,11798.79,6526,14784.34
Hailakandi,0,0,0,0,0,0,0,0,2,50.83,255,988.76,4059,6919.65,4316,7959.24
Hojai,0,0,0,0,0,0,0,0,21,157.31,455,2155.16,2561,4041.2,3037,6353.67
Jorhat,0,0,0,0,0,0,3,26.73,148,1817.31,1530,7628.39,14553,27092.2,16234,36564.63
Kamrup Metro,1,1.9,0,0,0,0,6,58.57,138,2530.49,2459,10526.94,21886,35504.16,24490,48622.06
Karbi Anglong,0,0,0,0,0,0,0,0,17,212.17,363,906.83,2049,6518.77,2429,7637.77
Karimganj,0,0,0,0,0,0,0,0,17,175.79,410,1619.49,5973,7929.56,6400,9724.84
Kokrajhar,0,0,0,0,0,0,0,0,31,436.21,335,1724.08,2978,7386.19,3344,9546.48
Lakhimpur,0,0,0,0,0,0,2,18.24,75,699.25,739,2737.54,5946,13176.53,6762,16631.56
Majuli,0,0,0,0,0,0,0,0,0,0,174,445.11,393,351.51,567,796.62
Morigaon,0,0,0,0,0,0,0,0,27,329.62,748,2692.01,3753,7110.23,4528,10131.86
Nagaon,0,0,1,5.94,0,0,0,0,103,921.08,987,7164.99,10222,22212.76,11313,30304.77
Nalbari,0,0,0,0,0,0,1,50.75,71,710.61,693,3134.07,5416,10397.02,6181,14292.45
Sivasagar,0,0,0,0,0,0,3,74.91,88,1098.75,1132,7546.69,11736,21793.46,12959,30513.81
Sonitpur,0,0,2,9.7,0,0,1,2.02,139,1113.76,1161,4037.99,11322,22765.9,12625,27929.37
South Salmara,0,0,0,0,0,0,0,0,1,0.04,7,12.23,130,452.35,138,464.62
Tinsukia,0,0,1,6.61,0,0,0,0,89,1794.69,1352,9454.26,12907,35393.31,14349,46648.87
Udalguri,0,0,0,0,0,0,2,0.5,8,83.43,94,314.95,1194,3006.18,1298,3405.06
West Karbi Anglong,0,0,0,0,0,0,0,0,3,0.36,43,57.09,162,430.5,208,487.95
