district,During the Quarter Savings Linked No,During the Quarter Savings Linked Amount,During the Quarter Credit Linked No,During the Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Baksa,1006,95.8,197,415.79,1179,99.77,426,839.76,4078,57986.15,1207,630.08,1.09
Barpeta,1141,157.94,453,827.24,1302,164.22,719,1315.66,6173,5159.61,2178,1252.78,24.28
Biswanath,987,111.54,411,686.53,1225,131.35,752,1256.81,5447,4654.1,2070,1104.62,23.73
Bongaigaon,1017,176.75,238,549.71,1102,192.05,364,864.75,2559,2704.68,286,136.23,5.04
Cachar,892,78.68,316,546.71,1217,82.57,481,831.62,4636,3788.78,1268,759.48,20.05
Charaideo,391,32.78,167,499.62,483,33.01,305,908.77,2297,2123.98,334,190.59,8.97
Chirang,656,34.99,164,400.42,755,36.31,257,640.28,2676,2698.14,637,541,20.05
Darrang,1190,98.73,208,414.13,1364,101.38,364,792.97,4029,3799.27,1473,1077.24,28.35
Dhemaji,1440,119.82,546,738.87,1590,121.49,983,1597.28,4029,3545.65,1040,479.28,13.52
Dhubri,3927,509.58,407,872.85,4077,518.06,651,1242.77,4903,3547.26,1626,682.36,19.24
Dibrugarh,1761,220.13,605,1023.58,1914,223.68,1140,1970.01,5888,5465.05,623,279.11,5.11
Dima Hasao,205,7.59,39,59.5,242,8.64,67,104.9,642,498.46,152,49.81,9.99
Goalpara,754,107.7,254,687.89,882,114.91,373,969.78,4386,3425.48,1160,569.97,16.64
Golaghat,1435,166.25,483,921,1714,172.7,865,1795.2,5627,6260.55,693,380.54,6.08
Hailakandi,962,106.81,139,162.19,1107,107.61,184,216.69,2252,1578.34,718,328.82,20.83
Hojai,845,110.55,173,233.51,899,111.54,297,398.55,2793,2526.15,370,185.56,7.35
Jorhat,898,128.59,261,601.6,970,129.31,523,1214.84,4603,5036.05,613,442.15,8.78
KARIMGANJ,764,40.75,173,284.73,920,41.87,323,508.12,3178,2179.98,1357,602.6,27.64
Kamrup,1005,74.26,637,1249.74,1110,77.9,1025,2123.5,7062,6565.35,1995,1279.5,19.49
Kamrup Metro,614,20.77,189,395.61,713,30.01,359,730.6,2621,2669.99,487,334.48,12.53
Karbi Anglong,219,9.19,142,346.69,347,10.32,230,509.28,2820,1966.14,932,294.08,14.96
Kokrajhar,1947,130.21,109,317.25,2108,132.45,222,542.35,2588,2456.32,780,691.41,28.15
Lakhimpur,1682,156.19,435,646.85,1817,158.74,789,1262.41,6002,5715.09,955,678.77,11.88
Majuli,34,2.19,19,46.05,52,2.65,42,99.05,1024,939.7,268,127.12,13.53
Morigaon,637,27.03,253,365.56,697,28.79,362,534.12,4887,3664.41,2187,1138.98,31.08
Nagaon,3462,161.4,670,1104.76,3557,162.19,1137,2068.63,7592,7976.85,1320,792.69,9.94
Nalbari,787,89.4,473,1154.11,952,95.39,787,1834.98,5580,6508.29,1094,587.48,9.03
Sivasagar,703,122.26,212,591.02,787,124.97,438,1177.37,3776,4034.96,491,347.36,8.61
Sonitpur,2120,334.9,195,368.47,2254,340.63,505,911.78,6158,5241.34,2089,1066.39,20.35
South Salmara,390,33.73,19,77,435,35.04,75,182.02,435,271.35,180,60.12,22.16
Tinsukia,1111,97.66,511,938.62,1322,106.16,1044,2009.93,5325,5059.57,692,351.67,6.95
Udalguri,1571,137.84,116,253.36,1651,138.31,263,519.62,3050,2782.38,974,670.9,24.11
West Karbi Anglong,406,12.38,53,86.32,440,13.23,103,168.83,2099,1088.26,1175,322.07,29.59
