District,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Baksa,3042,2170.72,98,151.64,335,477.96,108,173.83,67,73.69,32,95.64,0,0,0,0,4888,3138.5,8570,6281.98
Barpeta,1600,1337.34,394,622.5,1173,1286.58,1308,1919.77,363,413.57,240,340.55,2,12.82,4,6.52,10550,4785.71,15634,10725.36
Biswanath,989,703.65,143,455.82,45,88.77,109,140.06,133,125.85,20,25.42,0,0,13,23.5,2580,1914.57,4032,3477.64
Bongaigaon,1763,1204.34,239,352.44,2287,994.81,231,417.49,79,88.68,48,50.57,2,88.19,4,4.58,7589,3628.9,12242,6830
Cachar,3827,3319.25,1837,2532.18,711,970.09,322,467.5,406,713.2,215,270.47,10,554.57,19,37,5060,3717.3,12407,12581.56
Charaideo,339,402.83,197,267.97,28,46.66,28,42.7,50,54.91,21,36.68,1,0.7,8,16,566,480.85,1238,1349.3
Chirang,1297,729.02,103,144.87,211,219.06,20,29.32,28,30.33,11,10.47,0,0,4,7.4,1543,778.6,3217,1949.07
Darrang,1178,1473.33,328,499.95,629,1128.25,322,282.34,136,195.85,130,160.97,1,40.92,8,13.55,7458,4058.3,10190,7853.46
Dhemaji,763,700.27,406,579.69,133,235.11,734,248.74,193,195.58,24,45.31,0,0,7,10.82,2212,1448.16,4472,3463.68
Dhubri,1022,1112.08,474,721.44,285,462.37,188,391.16,132,114.34,27,34.06,1,39.3,10,28.04,947,961.49,3086,3864.28
Dibrugarh,5544,4198.27,752,1080.8,363,508.45,776,647.88,397,509.85,57,85.7,4,5.87,17,28.77,11527,9644.75,19437,16710.34
Dima Hasao,87,78.18,39,60.62,20,17.98,15,18.49,8,10.82,3,2.75,0,0,3,7,153,142.74,328,338.58
Goalpara,2135,1295.79,316,443.25,317,370.39,122,171.65,218,200.82,55,55.1,6,0.95,5,6.72,5321,3917.26,8495,6461.93
Golaghat,3301,2161.89,627,1011.13,1224,533.58,571,638.59,140,165.16,36,26.61,3,443.91,2,3,12153,6668.79,18057,11652.66
Hailakandi,747,777.12,393,586.26,319,532.24,67,132.52,217,276.98,29,45.01,2,730.09,8,11.77,1494,1430.31,3276,4522.3
Hojai,814,1015.76,554,985.37,163,274.38,180,210.8,123,154.87,40,70.47,1,0.26,3,3.65,1306,979.37,3184,3694.93
Jorhat,2707,2356.63,614,898.25,1459,785.78,497,668.26,202,243,93,78.65,3,43.64,20,109.52,7245,10764.24,12840,15947.97
Kamrup Metro,4846,3688.43,710,1206.93,1937,1053.73,816,708.45,371,547.33,128,137.42,2,34.83,21,32.48,17350,10229.6,26181,17639.2
Karbi Anglong,530,264.91,55,82.82,607,294.55,67,83.38,12,15.76,13,9.45,0,0,5,9,2806,2147.92,4095,2907.79
Karimganj,1984,2068.75,1355,1916.36,319,459.59,192,289.7,182,221.99,90,101.33,9,72.8,10,10.89,2403,1448.3,6544,6589.71
Kokrajhar,268,244.23,64,79.19,353,232.59,43,65,101,130.19,19,64.55,0,0,0,0,835,1030.23,1683,1845.98
Lakhimpur,955,1416.58,952,1509.3,247,417,332,393.71,270,350.49,147,235.65,2,0.43,7,12.73,3612,1747.82,6524,6083.71
Majuli,49,106.16,59,116.15,6,9.17,23,41.91,11,12.42,15,17.48,0,0,1,2,93,68.11,257,373.4
Morigaon,2213,2241.47,1134,1523.62,672,962.66,276,579.62,247,333.23,153,202.18,1,14.4,9,11.21,2567,1798.43,7272,7666.82
Nagaon,4552,4046.25,1675,2732.64,1636,1299.09,1131,1709.73,287,421.48,420,630.22,9,481.18,34,58.1,18501,7849.93,28245,19228.62
Nalbari,1183,945.08,257,426.57,750,612.63,826,481.19,150,108.01,168,128.86,2,13.73,12,16.11,5124,3296.91,8472,6029.09
Sivasagar,1347,1146.91,486,667.94,1947,1073.27,954,1056.1,477,433.19,63,60.94,0,0,13,12.71,5320,3083.76,10607,7534.82
Sonitpur,3064,2581.82,441,674.78,260,422.68,491,527.42,327,383.52,107,200.32,1,0.23,5,18.06,7016,4552.59,11712,9361.42
South Salmara,0,0,0,0,4,14.88,3,3.89,3,10.52,1,2.18,0,0,0,0,62,211.81,73,243.28
Tinsukia,3608,3186.01,1064,1601.24,815,1015.78,760,603.27,335,761.46,99,86.08,1,0.38,4,6.45,7787,10171.9,14473,17432.57
Udalguri,1264,882.04,20,34.04,183,353.97,57,109.67,165,167.39,88,44.62,1,0.38,0,0,4332,2714.94,6110,4307.05
West Karbi Anglong,0,0,0,0,167,67.87,3,4.96,1,4.41,6,0,0,0,0,0,55,28.34,232,105.58
