district,Micro No,Micro Amt,Small No,Small Amt,Medium No,Medium Amt,KVIC No,KVIC Amt,Other MSME No,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.
Baksa,4642,4038.68,7,25.53,0,0,700,929.72,145,15.82,5494,5009.75
Barpeta,8025,8537.68,101,623.25,1,2,387,640.29,105,12.42,8619,9815.64
Biswanath,5002,2382.88,20,131.47,1,7,103,151.43,165,14.53,5291,2687.31
Bongaigaon,1795,1635.56,60,682.44,14,148.01,315,454.13,55,3.26,2239,2923.4
Cachar,4406,6629.68,108,1277.47,5,55.94,223,352.59,85,32.18,4827,8347.86
Charaideo,2263,1703.66,14,222.01,0,0,91,193.94,78,5,2446,2124.61
Chirang,2316,2186.78,10,65.71,0,0,848,1023.06,9,0.91,3183,3276.46
Darrang,4748,4711.08,53,428.71,1,5,482,734.64,139,54.43,5423,5933.86
Dhemaji,3739,2874.37,46,713.65,0,0,190,295.54,128,10.83,4103,3894.39
Dhubri,5088,3620.4,44,190.43,1,6,461,529.46,153,11.31,5747,4357.6
Dibrugarh,10286,9838.36,201,4069.52,4,185,277,441.46,415,135.77,11183,14670.11
Dima Hasao,176,157.82,9,19.54,0,0,1,3.76,0,0,186,181.12
Goalpara,4353,4341.07,17,275.48,0,0,400,524.69,52,8.3,4822,5149.54
Golaghat,5159,3796.15,118,1144.2,6,12.32,196,292.59,192,19.9,5671,5265.16
Hailakandi,1795,1649.62,40,393.95,0,0,233,328.85,34,4.84,2102,2377.26
Hojai,2620,1938.42,39,134.99,0,0,15,20.57,49,3.04,2723,2097.02
Jorhat,7015,6699.19,181,4498.84,10,861.93,165,239.08,258,132.74,7629,12431.78
KARIMGANJ,2464,2496.71,38,487.75,2,139.94,114,169.54,40,3.57,2658,3297.51
Kamrup,9198,9241.8,195,1177.5,26,213.36,567,985.37,156,20.85,10142,11638.88
Kamrup Metro,13403,40635.03,955,43065.05,82,11109.59,189,291.4,364,876.31,14993,95977.38
Karbi Anglong,753,890.75,7,45.8,0,0,104,28.46,3,0.1,867,965.11
Kokrajhar,3770,3877.74,12,150.17,1,2,965,1168.69,4,1.49,4752,5200.09
Lakhimpur,6595,6211.5,95,1025.4,2,43,148,254.49,144,19.31,6984,7553.7
Majuli,853,621.62,6,68.45,0,0,31,31.77,2,0.74,892,722.58
Morigaon,2999,3267.98,39,334.83,1,22,256,388.7,111,8.03,3406,4021.54
Nagaon,9234,10171.76,177,2031.59,1,20,438,673.94,392,94.49,10242,12991.78
Nalbari,6625,5779.63,35,286.21,0,0,584,1006.14,162,17.54,7406,7089.52
Sivasagar,6349,4458.51,97,955.39,2,6.22,161,334.22,359,32.08,6968,5786.42
Sonitpur,6646,6262.34,149,1949.22,4,125,406,711.86,183,77.46,7388,9125.88
South Salmara,856,1126.41,0,0,0,0,184,304.26,0,0,1040,1430.67
Tinsukia,7622,5804.28,109,1321.8,4,76.73,238,357.18,207,105.88,8180,7665.87
Udalguri,4928,5947.32,8,77.25,0,0,635,1129.57,26,4.55,5597,7158.69
West Karbi Anglong,204,82.59,1,0.75,0,0,1,0.06,0,0,206,83.4
