district,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Baksa,846,806.36,181,2058.78,82,287.41,27,389.98,0,0,5,30.14,23,33.35,7,7.15,144,195.52,1315,3808.69
Barpeta,1344,4088.1,395,2307.02,319,2661.72,100,1262.67,27,149.4,33,260.1,73,165.59,54,131.04,91,186.2,2436,11211.84
Biswanath,658,769.39,186,410.05,142,1579.49,37,540.84,3,154.44,2,58.53,9,20.19,0,0,91,132.75,1128,3665.68
Bongaigaon,1410,3710.11,194,1364.69,186,2711.15,44,1209.39,10,83.9,15,125.51,8,9.13,3,2.86,317,504.4,2187,9721.14
Cachar,1615,6414.23,674,3444.49,653,6593.78,188,4691.89,42,1206.1,89,1160.58,51,145.86,27,89.51,152,236.85,3491,23983.29
Charaideo,350,596.97,132,395.63,65,302.91,10,89.89,6,30.28,9,51.85,1,1.51,0,0,2,1,575,1470.04
Chirang,622,935.62,94,364.64,32,916.23,9,306.99,1,401.25,1,133.75,15,13.57,1,0.86,216,246.72,991,3319.63
Darrang,856,2128.57,284,1798.03,115,992.14,45,351.08,5,21.02,7,32.9,15,24.73,6,12.79,47,119.57,1380,5480.83
Dhemaji,941,1048.57,187,454.15,117,394.99,30,329.03,13,103.86,25,160.93,16,26.32,0,0,125,164.84,1454,2682.69
Dhubri,1258,3308.31,287,1398.69,172,1303.17,54,555.59,1,0.5,0,0,16,23.24,5,9.16,77,219.52,1870,6818.18
Dibrugarh,1542,7240.04,676,5007.76,344,6809.87,122,5636.39,30,2095.89,11,825.21,3,26.46,0,0,87,165.24,2815,27806.86
Dima Hasao,156,198.99,80,135.01,26,98.6,8,38.91,5,20.09,5,33.35,3,9.26,0,0,5,8.2,288,542.41
Goalpara,875,1438.33,224,705.58,116,461.15,35,455.33,14,96.74,37,851.65,25,34.64,4,5.7,108,223.44,1438,4272.56
Golaghat,1143,2593.87,394,1178.64,402,3424.63,89,1707.47,11,137.56,21,206.68,4,17.69,0,0,166,199.52,2230,9466.06
Hailakandi,554,1560.6,170,735.62,109,852.97,37,1230.9,4,19.25,8,28.05,30,53.68,6,16.4,160,155.17,1078,4652.64
Hojai,651,2542.58,174,960.91,167,805.32,44,347.37,10,45.73,13,75.73,18,31.46,16,28.46,118,138.39,1211,4975.95
Jorhat,1165,5511.89,457,3589.23,373,6174.61,102,4174.34,34,2653.85,38,1244.25,2,4.09,0,0,131,292.51,2302,23644.77
Kamrup Metro,2215,4563.63,642,3667.86,343,2795.2,149,4819.5,19,501.68,26,177.12,84,144.57,51,58.49,298,304.1,3827,17032.15
Karbi Anglong,1583,1265.87,354,561.44,41,503.43,15,379.06,1,1.43,1,0.48,13,27.68,0,0,20,10.55,2028,2749.94
Karimganj,480,2060.83,267,1559.36,243,1080.61,63,401.73,16,80.42,17,126.24,44,93.96,7,14.97,67,179.86,1204,5597.98
Kokrajhar,373,1189.7,92,550.31,32,422.26,4,82.18,0,0,0,0,57,94.64,43,77.5,40,23.68,641,2440.27
Lakhimpur,1709,3403.18,543,2549.68,361,1434.21,101,2148.98,19,121.02,24,185.2,10,21.05,1,5,567,462.53,3335,10330.85
Majuli,139,193.46,21,82.94,31,203.66,9,54.55,0,0,0,0,0,0,0,0,62,43.25,262,577.86
Morigaon,462,740.17,164,1091.9,150,462.8,71,1213,18,154.03,28,1040.13,11,22.19,1,0.72,163,255.42,1068,4980.36
Nagaon,1241,4072.88,433,2537.95,450,5014.96,170,4570.56,29,608.03,27,236.3,85,189.54,74,157.26,73,168.9,2582,17556.38
Nalbari,768,1688.15,249,1076.86,127,793.97,41,1830.37,5,32.1,6,2048.4,27,47.52,2,1.93,100,182.54,1325,7701.84
Sivasagar,1157,3454.04,400,1751.78,188,2470.91,65,1344.16,12,374.55,19,260.23,8,16.07,0,0,142,166.54,1991,9838.28
Sonitpur,1399,6210.62,493,3194.39,304,5435.73,94,2452.58,26,942.16,41,1366.57,98,269.22,51,117.31,79,111.27,2585,20099.85
South Salmara,90,220.78,35,75.82,3,29.5,1,2.5,0,0,0,0,5,9.17,0,0,0,0,134,337.77
Tinsukia,1764,6411,706,4426.82,317,5411.96,152,7159.66,26,3333.59,15,343.04,12,19.43,0,0,160,177.8,3152,27283.3
Udalguri,734,1142.79,134,349.24,50,205.72,13,271.13,9,69.52,16,107.58,3,1.64,0,0,77,158.3,1036,2305.92
West Karbi Anglong,145,89.81,116,57.56,1,18,2,8,0,0,0,0,0,0,0,0,3,1.45,267,174.82
