District,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Tot Msme (PS) NPA No.,Tot Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Baksa,45269,24778.81,13034,7018,28.32,19637,15903.7,5494,5009.75,31.5,7554,10704.5,925,927.47,8.66,72460,51387.01,19453,12955.22,25.21
Barpeta,128390,63795.27,41471,18451.02,28.92,32124,55725.06,8619,9815.64,17.61,43323,47702.64,1682,1607.38,3.37,203837,167222.97,51772,29874.04,17.86
Biswanath,56671,33028.19,18485,8682.53,26.29,15475,11787.52,5291,2687.31,22.8,17149,10229.24,2676,1056.48,10.33,89295,55044.95,26452,12426.32,22.57
Bongaigaon,38357,19432.88,8667,3277.08,16.86,21979,40219.59,2239,2923.4,7.27,28051,28197.44,5147,1428.07,5.06,88387,87849.91,16053,7628.55,8.68
Cachar,110045,64830.83,32669,17793.49,27.45,35124,93883.89,4827,8347.86,8.89,78926,57344.12,2019,1322.45,2.31,224095,216058.84,39515,27463.8,12.71
Charaideo,23191,12596.8,5012,2559.06,20.32,6121,9946.96,2446,2124.61,21.36,5044,6747.23,1143,657.03,9.74,34356,29290.99,8601,5340.7,18.23
Chirang,29968,18274.33,9802,5323.42,29.13,10460,12158.35,3183,3276.46,26.95,7963,6849.8,413,232.05,3.39,48391,37282.48,13398,8831.93,23.69
Darrang,84335,42015.24,30275,14458.7,34.41,17817,27190.96,5423,5933.86,21.82,26981,23887.66,1292,1038.27,4.35,129133,93093.86,36990,21430.83,23.02
Dhemaji,45994,25586.65,11887,6313.12,24.67,21471,18779.84,4103,3894.39,20.74,8942,19161.23,401,398.7,2.08,76407,63527.72,16391,10606.21,16.7
Dhubri,76000,39742.37,38109,18571.5,46.73,17687,26464.58,5747,4357.6,16.47,38590,35838.79,1147,1177.95,3.29,132277,102045.74,45003,24107.05,23.62
Dibrugarh,140141,89914.05,58072,26632.61,29.62,44494,150784.88,11183,14670.11,9.73,39459,66479.02,8121,3663.93,5.51,224094,307177.95,77376,44966.65,14.64
Dima Hasao,3220,1762.12,1131,397.25,22.54,1915,3300.45,186,181.12,5.49,862,4708.55,21,73.45,1.56,5997,9771.12,1338,651.82,6.67
Goalpara,57390,28938.83,14677,8037.53,27.77,20034,20830.4,4822,5149.54,24.72,18945,16983.91,1911,926.89,5.46,96369,66753.14,21410,14113.96,21.14
Golaghat,144246,73085.8,58075,22624.54,30.96,28557,44694.36,5671,5265.16,11.78,28289,31808.02,3812,1270.83,4,201092,149588.18,67558,29160.53,19.49
Hailakandi,29204,16256.65,9787,4672.44,28.74,7520,14338.13,2102,2377.26,16.58,15009,12450.8,149,394.87,3.17,51733,43045.58,12038,7444.57,17.29
Hojai,51048,27066.03,20656,10184.18,37.63,16169,18845.37,2723,2097.02,11.13,15573,26222.29,671,2094.56,7.99,82790,72133.69,24050,14375.76,19.93
Jorhat,119666,71557.69,41562,18443,25.77,31736,113815.4,7629,12431.78,10.92,38364,58337.88,6538,2364.1,4.05,189766,243710.97,55729,33238.88,13.64
Kamrup Metro,156937,75616.57,42504,20669.93,27.34,45649,87922.36,10142,11638.88,13.24,100160,68122.71,11977,4210.27,6.18,302746,231661.64,64623,36519.08,15.76
Karbi Anglong,45005,20735.84,9278,4087.78,19.71,14104,10290.62,867,965.11,9.38,5966,25507.14,524,292.82,1.15,65075,56533.6,10669,5345.71,9.46
Karimganj,64907,38463.31,21137,10233.77,26.61,14685,28770.74,2658,3297.51,11.46,38562,24085.23,1529,1138.93,4.73,118154,91319.28,25324,14670.21,16.06
Kokrajhar,37068,21422.03,12265,6199.82,28.94,8772,15050.14,4752,5200.09,34.55,15222,17974.67,662,368.27,2.05,61062,54446.84,17679,11768.18,21.61
Lakhimpur,125767,62529.21,34445,16570.17,26.5,38169,45955.64,6984,7553.7,16.44,23641,45492.93,2226,2809.11,6.17,187577,153977.78,43655,26932.98,17.49
Majuli,8617,4658.92,2894,1656.65,35.56,3699,4555.59,892,722.58,15.86,1648,7740.13,583,936.99,12.11,13964,16954.64,4369,3316.22,19.56
Morigaon,98175,53846.01,32122,16582.26,30.8,14306,24836.75,3406,4021.54,16.19,12351,29846.49,669,2692.84,9.02,124832,108529.25,36197,23296.64,21.47
Nagaon,214027,102403,82867,34730.07,33.92,30737,72152.37,10242,12991.78,18.01,51359,58302.49,2888,3036.12,5.21,296123,232857.86,95997,50757.97,21.8
Nalbari,89268,39627.47,27785,10225.93,25.81,20970,28118.94,7406,7089.52,25.21,30585,34892.27,1631,1667.94,4.78,140823,102638.68,36822,18983.39,18.5
Sivasagar,91409,40087.15,31161,11771.6,29.37,24580,57362.36,6968,5786.42,10.09,23335,34546.07,4296,1959.2,5.67,139324,131995.58,42425,19517.22,14.79
Sonitpur,103166,54624.27,27759,13225.83,24.21,29696,91165.34,7388,9125.88,10.01,38651,70026.96,2403,3394.8,4.85,171513,215816.57,37550,25746.51,11.93
South Salmara,3150,1675.71,1680,897.37,53.55,1485,2515.01,1040,1430.67,56.89,416,2053.83,201,317.66,15.47,5051,6244.55,2921,2645.7,42.37
Tinsukia,91488,112760.05,31970,15856.29,14.06,32264,99520.54,8180,7665.87,7.7,26471,41007.42,2973,1598.39,3.9,150223,253288.01,43123,25120.55,9.92
Udalguri,54468,30607.03,24369,15219.72,49.73,14813,13946.81,5597,7158.69,51.33,9027,19566.62,2292,1468.24,7.5,78308,64120.46,32258,23846.65,37.19
West Karbi Anglong,13915,5858.68,3073,1231.36,21.02,1707,676.32,206,83.4,12.33,677,6562.83,26,51.69,0.79,16299,13097.83,3305,1366.45,10.43
