district,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
Baksa,19606,11705.87,22635,10840.28,223,92.02,2805,2140.64,45269,24778.81
Barpeta,49279,31371.99,72058,27285.18,824,554.6,6229,4583.5,128390,63795.27
Biswanath,26478,15726.02,25495,12110.24,525,412.86,4173,4779.07,56671,33028.19
Bongaigaon,12279,8078.46,23660,8625.09,367,229.03,2051,2500.3,38357,19432.88
Cachar,48919,28807.54,51418,22030.41,1352,1830.92,8356,12161.96,110045,64830.83
Charaideo,10842,6366.28,10820,4984.34,139,136.07,1390,1110.11,23191,12596.8
Chirang,17933,10440.23,8481,5577.25,1606,738.05,1948,1518.8,29968,18274.33
Darrang,33972,19738.15,45919,18357.05,362,268,4082,3652.04,84335,42015.24
Dhemaji,24742,14994.16,16361,7511.61,209,314.65,4682,2766.23,45994,25586.65
Dhubri,31077,17416.61,34021,15972.96,5891,3030.26,5011,3322.54,76000,39742.37
Dibrugarh,68739,43547.03,62323,22758.6,1121,947.75,7958,22660.67,140141,89914.05
Dima Hasao,1851,632.8,1210,927.05,13,16.1,146,186.17,3220,1762.12
Goalpara,26854,12947.1,26960,12976.54,683,384.67,2893,2630.52,57390,28938.83
Golaghat,55649,31612.82,80323,28270.85,3115,1616.79,5159,11585.34,144246,73085.8
Hailakandi,18151,9189.08,9052,4436.14,272,1065.15,1729,1566.28,29204,16256.65
Hojai,21697,11520.04,20922,9853.55,3009,1695.43,5420,3997.01,51048,27066.03
Jorhat,42036,21343.17,69277,23984.65,3323,1679.57,5030,24550.3,119666,71557.69
KARIMGANJ,25604,15975.81,32733,14817.76,699,870.65,5871,6799.09,64907,38463.31
Kamrup,66257,37826.71,83650,31083.93,856,686.46,6174,6019.47,156937,75616.57
Kamrup Metro,11737,8596.98,29645,141344.28,259,7508.92,3512,53174.22,45153,210624.4
Karbi Anglong,31024,13973.08,11833,5878.93,26,29.43,2122,854.4,45005,20735.84
Kokrajhar,23899,14454.18,8074,4647.2,3843,1629.21,1252,691.44,37068,21422.03
Lakhimpur,55297,34607.1,60488,21322.83,774,695.01,9208,5904.27,125767,62529.21
Majuli,5206,2582.1,2961,1686.08,27,27.42,423,363.32,8617,4658.92
Morigaon,39016,24023.63,50440,21920.24,2215,1444.79,6504,6457.35,98175,53846.01
Nagaon,78486,44770.21,117690,42557.97,3881,2771.82,13970,12303,214027,102403
Nalbari,28610,15392.94,56531,19861.66,416,288.34,3711,4084.53,89268,39627.47
Sivasagar,25149,13718.55,59405,20055.71,369,366.32,6486,5946.57,91409,40087.15
Sonitpur,29945,19254.76,64165,26792.14,1834,943.11,7222,7634.26,103166,54624.27
South Salmara,2597,1001.53,553,674.18,0,0,0,0,3150,1675.71
Tinsukia,48125,35573.6,36539,15092.23,730,4393.42,6094,57700.8,91488,112760.05
Udalguri,33922,20818.38,17629,8530.41,219,73.97,2698,1184.27,54468,30607.03
West Karbi Anglong,10839,4146.61,2944,1677.97,1,0,131,34.1,13915,5858.68
