District,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C No.,Forestry and wasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm mechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillary Activities A/C,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Baksa,1923,1190.33,0,0,0,0,39,33.56,25,32.13,285,316.02,1,6,951,1303.67,28,25,611,597.76,3863,3504.47
Barpeta,6617,4316.82,107,66.59,0,0,328,345.93,133,372.11,476,757.75,123,266.11,2852,2357.57,165,225.67,1275,1700.67,12076,10409.22
Biswanath,2387,1663.95,0,0,0,0,87,112.6,73,149.81,249,334.99,3,10.28,1908,2051.86,89,103.03,1009,2808.62,5805,7235.14
Bongaigaon,2584,1635.84,1,0.63,0,0,126,125.12,65,166.39,145,193.28,172,148.81,1406,1443.41,64,97.9,667,1570.41,5230,5381.79
Cachar,3709,2360.57,88,62.4,0,0,749,607.36,267,790.12,370,445.47,116,183.05,5329,4135.24,300,855.45,2251,2333.8,13179,11773.46
Charaideo,414,342.47,0,0,0,0,35,62.03,13,84.63,129,194.21,28,60.9,1097,1356.89,35,36.43,377,272.74,2128,2410.3
Chirang,2075,1417.05,0,0,0,0,13,30.33,11,58.9,104,97.42,10,28.1,722,1028.8,13,19.03,272,201.48,3220,2881.11
Darrang,2767,1696.62,64,46.12,0,0,213,201.61,95,368.9,187,292.88,195,303.42,1920,1712.9,101,146.08,653,631.23,6195,5399.76
Dhemaji,1223,1206.63,0,0,0,0,428,209.24,65,150.91,430,407.13,13,23.95,1857,1946.37,75,88.13,969,739.96,5060,4772.32
Dhubri,2471,2101.43,6,4.19,0,0,104,171.84,91,309.68,269,396.78,36,380.31,1944,1770.88,142,190.57,997,715.84,6060,6041.52
Dibrugarh,6746,4384.27,87,61.38,0,0,414,310.25,73,248.1,259,321.52,68,106.9,4261,3933.84,67,148.37,1204,8788.4,13179,18303.03
Dima Hasao,259,156.33,0,0,0,0,20,23.35,19,26.4,52,52.09,0,0,387,378.1,20,18.53,233,140.14,990,794.94
Goalpara,2714,1901.2,0,0,0,0,111,147.83,75,235.65,239,236.27,158,258.21,2152,1891.62,87,112.91,1433,1158.98,6969,5942.67
Golaghat,6449,4346.53,12,9.62,0,0,160,236.9,86,347.45,345,531.21,194,96.16,4578,3738.78,106,180.54,1598,4095.88,13528,13583.07
Hailakandi,1674,838.02,0,0,0,0,178,196.21,37,191.89,68,158.03,12,41.7,1643,1240.93,70,917.26,526,442.98,4208,4027.02
Hojai,1274,899.91,0,0,0,0,128,182.24,101,302.67,138,184.37,27,66.66,1896,1395.02,136,122.85,1318,1016.97,5018,4170.69
Jorhat,3752,2295.1,71,39.54,2,95.59,97,157.37,22,202.01,349,336.33,57,115.33,3336,2945.94,58,68.32,1130,10920.39,8874,17175.92
Kamrup Metro,7667,5313.82,189,163.64,0,0,675,512.22,289,620.34,631,908.63,79,133.49,5380,4120.79,302,346.59,2219,1585.09,17431,13704.61
Karbi Anglong,4939,2730.59,0,0,0,0,28,28.06,5,25,508,272.8,0,0,2153,2491.41,8,13.75,867,436.48,8508,5998.09
Karimganj,1208,899.23,43,27.23,0,0,203,394.63,169,481.19,220,383.48,35,93.71,4227,3149.5,195,248.01,1149,811.4,7449,6488.38
Kokrajhar,1837,1240.87,0,0,0,0,24,20.24,20,43.55,228,217.99,23,28.23,863,1071.24,75,47.03,146,104.21,3216,2773.36
Lakhimpur,5352,3019.39,0,0,0,0,252,318.52,151,473.9,499,503.59,88,160.8,3267,3124.32,180,188.97,2178,1484.51,11967,9274
Majuli,348,341.67,0,0,0,0,43,34.18,20,85.35,90,63.3,40,57.18,181,220.4,22,28.15,139,97.66,883,927.89
Morigaon,3075,1474.5,4,3.24,0,0,173,269.49,129,247.96,351,283.47,22,39.05,1878,1474.18,158,142.28,740,475.53,6530,4409.7
Nagaon,5032,4421.28,1,1.04,0,0,566,695.79,279,1708.43,547,805.06,146,362.15,7173,5432.31,334,480.33,3931,4044.51,18009,17950.9
Nalbari,2294,1413.43,19,14.82,0,0,610,300.65,86,231.27,268,557.6,31,84.6,2172,2525.84,84,120.71,656,944.59,6220,6193.51
Sivasagar,1893,1731.24,11,8.08,0,0,397,230.38,104,313.89,333,375.68,61,372.85,3549,3020.05,119,120.57,1047,1892.49,7514,8065.23
Sonitpur,3836,3307.84,33,24.18,0,0,302,250.29,114,416.34,349,398.31,40,123.31,3073,2820.79,132,180.06,1539,2394.86,9418,9915.98
South Salmara,106,160.86,0,0,0,0,0,0,0,0,0,0,2,10,63,135.18,0,0,0,0,171,306.04
Tinsukia,6247,5459.07,37,22.64,0,0,482,319.48,83,296.18,283,395.78,52,117.9,3524,3716.32,93,110.73,1227,7099.07,12028,17537.17
Udalguri,3804,2042.9,0,0,0,0,5,14.45,3,72.98,329,167.59,30,48.58,732,937.46,6,11.35,424,229.38,5333,3524.69
West Karbi Anglong,846,441.1,0,0,0,0,0,0,0,0,42,27.25,0,0,366,519.08,0,0,68,32.48,1322,1019.91
