District,CY Sanction A/C No.,CY Sanction Amt,CY Disbursed A/C No.,CY Disbursed Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Amt. %
Baksa,45,112.16,51,122.48,1292,1952.92,867,1111.46,56.91
Barpeta,74,180.36,91,180.13,1866,3018.2,920,1454.7,48.2
Biswanath,23,52.78,27,43.16,339,437.91,173,225.89,51.58
Bongaigaon,14,16.81,16,16.58,688,787.32,421,530.32,67.36
Cachar,42,122.63,45,121.02,1745,2268.07,717,940.75,41.48
Charaideo,4,14.22,3,2.38,394,577.88,172,294.63,50.98
Chirang,22,17.87,20,15.48,1495,1841.44,1190,1436.61,78.02
Darrang,35,65.71,31,57.95,953,1388.32,676,973.26,70.1
Dhemaji,30,65.81,47,67.99,867,1843.96,414,761.47,41.3
Dhubri,40,72.91,62,99.18,1793,2351.54,1035,1119.68,47.61
Dibrugarh,46,177.04,68,164.34,1523,2700.6,672,995.02,36.84
Dima Hasao,14,17.01,17,21.9,220,318.25,59,56.3,17.69
Goalpara,32,52.95,30,37.63,1076,1234.5,646,795.24,64.42
Golaghat,30,143.59,63,172.27,1248,1709.12,571,825.67,48.31
Hailakandi,37,74.81,38,69.58,773,1076.8,370,488.1,45.33
Hojai,19,37.34,40,48.3,676,855.51,192,216.51,25.31
Jorhat,27,71.88,55,102.9,1041,1472.13,442,558.3,37.92
Kamrup Metro,76,159.12,99,145.83,1606,2042.38,906,1107.04,54.2
Karbi Anglong,34,48,32,47.7,350,368.32,166,105.88,28.75
Karimganj,49,110.6,54,106.43,851,1220.08,271,351.43,28.8
Kokrajhar,27,32.8,35,48.44,1901,2324.66,1508,1817.1,78.17
Lakhimpur,38,103.04,69,123.88,1205,2138.37,538,913.36,42.71
Majuli,5,11.39,4,5.13,178,198.63,80,84.34,42.46
Morigaon,22,42.78,38,51.19,839,1214.33,468,644.65,53.09
Nagaon,37,86.33,61,84.38,1740,2839.82,846,1241.9,43.73
Nalbari,45,81.31,46,84.65,1143,1967.62,742,1225.06,62.26
Sivasagar,40,153.02,59,151.14,899,1754.13,352,613.77,34.99
Sonitpur,68,198.93,71,161.96,1303,2398.23,578,872.53,36.38
South Salmara,9,12.87,9,12.87,388,433.79,338,375.68,86.6
Tinsukia,38,92.23,47,87.01,1379,2151.91,574,769.89,35.78
Udalguri,21,23.4,19,21.5,1794,2740.86,1454,2317.35,84.55
West Karbi Anglong,0,0,0,0,16,14.43,12,10.21,70.76
