District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Baksa,292,575.45,5116,4704.68,1478,3394.29,18130,21524.76
Barpeta,683,1980.68,19478,11789.44,507,2501.95,8386,9055.27
Biswanath,579,708.78,11303,7469.39,570,551.09,14298,8320.82
Bongaigaon,648,3770.69,11114,10384.4,589,4038.58,7011,10518.26
Cachar,3460,3416.28,57809,34955.94,439,1036.22,9703,10764.9
Charaideo,70,140.11,1771,1376.63,95,187.87,1498,1454.53
Chirang,336,378.58,4105,3007.12,925,2758.52,14889,16630.04
Darrang,205,304.72,4851,3567.26,251,422.95,4016,3773.21
Dhemaji,331,650.54,6152,5433,2172,5353.51,26712,33445.72
Dhubri,505,867.97,13656,9998.88,399,1195.01,4088,7108.64
Dibrugarh,1146,2178.8,18945,17021.05,1446,4308.21,20661,25481.72
Dima Hasao,74,235.35,1342,2058.33,666,2648.38,4930,12030.21
Goalpara,364,525.6,7068,5159.88,991,1381.06,19506,15068.42
Golaghat,1047,2035.37,22486,15337.72,1372,2577.47,22171,14592.43
Hailakandi,1004,1074.21,9833,6976.6,92,204.76,1981,1954.24
Hojai,573,883.95,16514,10252.35,246,704.95,6221,5396.07
Jorhat,788,2333.38,19626,13501.14,1011,2864.14,19837,15495.63
Kamrup Metro,1371,1514.8,28459,17000.29,1599,2158.18,24821,17799.38
Karbi Anglong,228,756.34,1574,3146.28,3378,8280.8,22242,38820.13
Karimganj,3080,2549.98,31271,16616.97,219,307.58,4113,2965.92
Kokrajhar,363,826.11,4991,5003.38,2577,9281.71,25132,49574.53
Lakhimpur,662,893.42,19509,15201.42,2328,4847.54,29143,32771.68
Majuli,99,178.08,1740,1132.72,225,528.88,3413,3184.59
Morigaon,654,560.38,16070,9179.52,756,705.53,20816,12040.65
Nagaon,1070,1938.35,34364,21384.21,791,1146.43,21528,14542.33
Nalbari,307,560.72,9613,6537.22,263,623.71,6267,5575.09
Sivasagar,656,1424.89,11720,10007.56,555,1683.45,7937,9103.29
Sonitpur,738,1081.45,17863,12604.05,958,1533.08,19360,15585.48
South Salmara,14,51.71,88,149.54,10,34.95,70,121.78
Tinsukia,531,2144.43,8951,8847.37,959,3326.2,12356,15376.61
Udalguri,291,494.39,3780,3330.37,2895,4322.91,35071,39308.07
West Karbi Anglong,50,87.33,254,587.86,572,1652.26,3992,9622.85
