District,No. of camps conducted during the Quarter,No. of rural branches in district
Anjaw,0,2
Changlang,0,9
Dibang Valley,0,2
East Kameng,1,2
East Siang,5,6
Kra Daadi,0,1
Kurung Kumey,1,4
Lohit,0,3
Longding,0,3
Lower Dibang Valley,0,3
Lower Subansiri,2,6
Namsai,0,3
Papum Pare,0,13
Siang,1,4
Tawang,6,6
Tirap,0,4
Upper Siang,0,7
Upper Subansiri,0,5
West Kameng,7,15
West Siang,2,11
