district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Chumoukedima,1028.79,11042,8282,9372,16478,942,6979,7571,19324,11197
Dimapur,3123.71,51925,41856,60160,74923,13399,33577,9110,93781,84677
Kiphire,432.26,8325,7408,9755,12628,1516,5385,5923,15733,9815
Kohima,1077.22,13826,9792,15581,19474,5229,9632,15691,23618,8268
Longleng,360.81,8578,7295,11531,19532,378,8062,15873,15873,0
Mokokchung,1530.99,17247,16291,20152,24817,5688,4109,14058,33538,12290
Mon,1430.75,26290,25509,31240,39878,5955,21521,21385,51799,30424
Niuland,147.53,2090,1591,2878,2027,364,1325,3570,3681,112
Noklak,242.00,2734,2658,1949,5115,15,1270,5392,5392,0
Peren,513.38,9042,6969,9165,16006,198,5494,15992,16011,22
Phek,1146.15,12731,10506,15268,19848,2545,5316,11885,23237,11358
Shamator,119.52,2270,1992,1887,3769,414,1231,4250,4262,12
Tseminyu,138.41,1490,865,1729,1983,266,603,2268,2355,87
Tuensang,1019.82,14312,13806,10106,25534,1871,12339,3848,28118,24274
Wokha,598.81,9479,5709,8285,12696,742,3587,6236,15188,7010
Zunheboto,461.92,9502,9398,7037,13121,4182,3231,14531,18900,4370
