district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Chumoukedima,38970.05,49901.47,297.98,84.10,77.64,,46339.87,64274.77,0.00,80.61,89169.50,110614.64
Dimapur,21390.49,50785.43,289191.62,74.41,104.83,56.25,28746.38,48443.71,514083.84,61.12,361367.54,591273.93
Kiphire,3590.61,13931.55,11.79,258.92,146.80,,1386.78,9490.46,0.00,161.20,17533.95,10877.24
Kohima,17068.19,184414.78,785.28,53.90,32.18,,31669.27,572995.63,0.00,33.45,202268.25,604664.90
Longleng,10920.19,111.93,0.43,159.85,,,6831.70,0.00,0.00,161.49,11032.55,6831.70
Mokokchung,24793.66,58372.65,89.36,81.90,88.99,,30274.38,65594.77,0.00,86.84,83255.67,95869.15
Mon,15193.37,21831.63,27.91,109.98,83.01,,13814.12,26301.21,0.00,92.37,37052.91,40115.33
Niuland,11524.72,4239.66,0.00,175.45,126.83,,6568.71,3342.74,0.00,159.05,15764.38,9911.45
Noklak,3072.87,23.94,4.24,77.80,26.58,,3949.79,90.07,0.00,76.76,3101.05,4039.86
Peren,21355.33,1566.54,59.09,169.81,68.61,,12576.20,2283.37,0.00,154.65,22980.96,14859.57
Phek,13105.42,19639.88,39.41,73.80,119.01,,17758.37,16502.54,0.00,95.69,32784.71,34260.91
Shamator,2682.15,70.62,65.14,164.01,,,1635.33,0.00,0.00,172.31,2817.91,1635.33
Tseminyu,7308.08,763.39,0.00,109.80,31.39,,6655.99,2431.81,0.00,88.82,8071.47,9087.80
Tuensang,5225.83,30197.16,0.00,160.78,139.64,,3250.26,21625.34,0.00,142.40,35422.99,24875.60
Wokha,7603.55,27228.48,3.91,106.85,76.39,,7116.19,35644.61,0.00,81.47,34835.94,42760.80
Zunheboto,10182.33,29341.31,80.76,90.46,166.68,,11256.16,17602.93,0.00,137.23,39604.40,28859.09
