district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Chumoukedima,44.18,3,818.28,177,0.00,0,179.74,35,12.75,2,1054.95,217,0.00,0
Dimapur,490.80,15,12870.64,5327,297.19,57,3538.53,527,135.54,16,17332.70,5942,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,10.05,7,0.38,1,10.43,8,0.00,0
Kohima,62.85,3,6861.28,2476,0.00,0,1495.92,210,3.92,2,8423.97,2691,0.00,0
Longleng,0.00,0,36.50,5,0.00,0,111.87,20,0.00,0,148.37,25,0.00,0
Mokokchung,5.20,1,818.88,631,0.00,0,70.59,16,0.00,0,894.67,648,0.00,0
Mon,7.20,1,1509.21,315,0.00,0,148.47,56,0.00,0,1672.54,375,7.66,3
Niuland,0.00,0,176.99,73,0.00,0,0.00,0,0.00,0,176.99,73,0.00,0
Noklak,0.00,0,0.00,0,0.00,0,3.00,1,0.00,0,3.00,1,0.00,0
Peren,16.11,3,0.00,0,0.00,0,2.22,3,0.68,1,19.01,7,0.00,0
Phek,0.00,0,100.48,32,0.00,0,13.98,4,12.90,1,127.36,37,0.00,0
Shamator,10.00,1,99.00,45,0.00,0,47.28,7,0.00,0,156.28,53,0.00,0
Tseminyu,0.00,0,0.00,0,0.00,0,133.52,38,0.00,0,133.52,38,0.00,0
Tuensang,0.00,0,0.00,0,0.00,0,40.74,8,0.00,0,40.74,8,0.00,0
Wokha,0.00,0,614.82,328,0.00,0,66.57,8,0.00,0,681.39,336,0.00,0
Zunheboto,0.00,0,559.44,124,0.00,0,5.80,2,0.00,0,565.24,126,0.00,0
