district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,173.90,47,297.62,78,36.11,9,8.17,442.20,163
Dimapur,810.87,129,993.15,109,897.22,288,31.51,2847.62,839
Kiphire,0.00,0,36.50,11,59.38,29,9.38,632.72,308
Kohima,516.15,123,583.93,114,216.57,133,15.90,1361.80,563
Longleng,77.71,22,106.40,30,5.01,5,1.33,375.33,211
Mokokchung,60.16,17,125.21,18,24.13,39,4.28,564.11,140
Mon,139.69,41,225.50,52,19.89,10,2.82,705.95,346
Niuland,0.00,0,79.80,28,3.42,1,2.61,131.24,48
Noklak,0.00,0,3.80,1,7.20,5,5.41,133.07,71
Peren,3.80,2,140.25,41,157.36,73,26.95,583.85,256
Phek,17.20,2,205.73,61,664.66,242,45.93,1447.17,517
Shamator,0.00,0,0.00,0,0.00,0,0.00,28.67,14
Tseminyu,29.20,9,106.55,34,0.00,0,0.00,40.42,18
Tuensang,39.52,11,62.32,17,6.89,3,1.19,577.61,310
Wokha,164.64,41,186.87,41,13.45,22,2.84,473.13,174
Zunheboto,101.73,27,158.98,40,18.70,13,3.63,515.44,254
