district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Chumoukedima,63.59,17,270.62,100,1505.84,216,6202.02,1319
Dimapur,650.23,619,2128.04,1860,10979.92,1990,59330.71,13465
Kiphire,0.00,0,22.15,4,2.76,1,14.06,7
Kohima,203.53,22,541.38,140,8683.79,1336,37851.80,7736
Longleng,0.00,0,10.29,3,35.00,4,97.09,12
Mokokchung,21.41,14,285.18,100,1561.55,534,11857.07,4452
Mon,1.12,2,70.98,35,1233.03,270,3079.81,896
Niuland,0.00,0,0.15,1,47.24,17,357.62,255
Noklak,0.00,0,5.88,2,0.00,0,16.64,3
Peren,2.14,4,18.98,6,177.28,75,282.65,100
Phek,0.00,0,34.20,8,112.98,33,647.87,168
Shamator,0.00,0,0.00,2,3.80,7,203.70,77
Tseminyu,0.00,0,4.04,2,338.57,78,965.57,291
Tuensang,4.21,2,70.82,12,33.56,6,64.14,15
Wokha,6.05,4,80.50,23,659.69,235,2291.36,998
Zunheboto,11.98,3,67.57,24,259.53,47,1125.12,429
