district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Chumoukedima,217.28,60,187,507.33,274.03,111.25,60,18.04,616.55,246,34.83,362,1665
Dimapur,465.09,161,251,511.56,275.20,65.43,59,5.22,1252.54,411,108.90,401,1844
Kiphire,23.10,12,74,88.76,138.99,12.63,8,13.42,94.08,87,13.09,309,1000
Kohima,132.47,52,127,226.37,525.96,50.60,39,13.43,376.85,237,197.53,462,2352
Longleng,36.00,25,1,2.00,34.11,0.00,0,0.00,39.13,46,34.28,360,347
Mokokchung,446.04,160,533,771.25,368.85,146.81,143,7.78,1887.88,1056,56.43,505,2194
Mon,60.00,24,191,186.17,496.37,31.82,44,16.62,191.44,197,362.42,1015,2302
Niuland,159.92,51,271,639.54,164.87,142.81,88,22.79,626.67,286,4.46,76,1102
Noklak,1.00,1,0,0.00,7.19,0.00,0,0.00,4.18,7,7.19,127,127
Peren,56.88,26,27,34.51,80.27,8.30,7,4.67,177.73,134,26.43,170,683
Phek,100.95,32,153,169.27,375.39,37.48,39,10.60,353.61,277,202.11,763,2085
Shamator,28.05,28,10,9.12,23.62,0.00,0,0.00,16.52,18,17.99,188,204
Tseminyu,0.00,0,23,16.73,333.80,4.21,4,9.88,42.61,50,270.71,298,743
Tuensang,134.80,57,82,95.10,248.32,14.22,26,6.53,217.90,170,113.31,723,1725
Wokha,204.01,77,150,200.55,203.65,23.99,39,11.90,201.60,160,88.51,316,1040
Zunheboto,51.87,21,104,121.26,410.23,25.81,28,19.56,131.96,114,302.44,550,1304
