district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,18.00,9,0.07,1,0.00,0,0.00,50.03,32
Dimapur,288.03,112,0.70,3,5.74,4,0.64,895.46,258
Kiphire,13.49,14,0.06,1,1.90,3,5.16,36.84,38
Kohima,76.96,40,4.68,10,4.61,6,1.93,238.83,217
Longleng,5.50,7,0.57,3,0.00,0,0.00,14.78,24
Mokokchung,411.53,136,0.14,4,11.78,16,0.84,1397.82,660
Mon,60.70,48,1.02,23,4.73,7,3.19,148.35,170
Niuland,93.07,36,0.00,0,0.00,0,0.00,132.98,80
Peren,323.00,82,1.72,13,0.00,0,0.00,622.54,192
Phek,60.20,29,1.09,5,1.40,2,1.07,131.14,76
Shamator,31.00,27,0.00,0,0.00,0,0.00,27.04,27
Tseminyu,0.00,0,0.21,2,0.00,0,0.00,11.98,6
Tuensang,3.50,2,0.03,1,1.60,1,15.97,10.02,17
Wokha,122.20,49,0.00,0,5.58,7,3.48,160.39,125
Zunheboto,32.02,11,4.87,5,1.90,3,3.23,58.77,60
