district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Chumoukedima,3808,3280.57,6,6.67,9774470,223117.02,88124,5099.38,72982,349471.24,141665,4131.15
Dimapur,9747,5907.01,977,3818.15,23359253,689879.42,571596,50012.25,601991,2913863.43,337218,10382.64
Kiphire,0,0.00,18,6.63,1414478,28391.33,5059,292.83,43,0.25,8012,230.84
Kohima,5074,2212.91,284,108.03,11367895,316074.23,285010,18594.62,136017,1621572.52,183670,5748.41
Longleng,0,0.00,14,6.13,965526,19249.16,15,0.19,22,0.57,4638,149.19
Mokokchung,686,313.23,7,0.66,5243252,124775.44,107004,5195.63,28439,139917.04,52534,1586.70
Mon,150,18.36,91,65218.27,3926161,82639.69,21712,1705.78,5717,109646.97,24290,658.52
Niuland,0,0.00,4,4.52,425045,6607.92,6815,450.90,3,0.03,2843,89.74
Noklak,0,0.00,0,0.00,424484,7715.65,46,1.29,0,0.00,2451,51.96
Peren,0,0.00,22,22.17,1890869,32518.62,4859,243.60,592,36.80,14430,415.89
Phek,0,0.00,12,14.79,2701522,61841.56,10494,530.37,15,0.16,20776,617.97
Shamator,0,0.00,11,8.41,194113,4898.79,1398,26.44,2,0.02,1206,30.34
Tseminyu,0,0.00,0,0.00,659333,11503.78,11439,504.36,4622,718.73,6401,183.32
Tuensang,0,0.00,9,5.56,2575659,56072.40,12166,685.31,11,0.28,19556,582.91
Wokha,793,396.54,29,17.64,3508763,82929.02,24158,1528.68,10394,135426.29,27280,777.73
Zunheboto,151,20.94,2,0.69,2323592,51450.06,14876,1217.46,1333,98104.46,22491,730.21
