district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Chumoukedima,65034,10510,3,11644,843
Dimapur,184036,16687,1308,68673,1715
Kiphire,22712,7729,5,7729,764
Kohima,110507,8754,10,21069,717
Longleng,16091,8861,5,8861,78
Mokokchung,81725,7232,8,9566,1483
Mon,75003,23970,4,25062,418
Niuland,9902,1749,0,1957,232
Noklak,6355,2081,2,2081,11
Peren,22302,7270,2,7270,1432
Phek,44291,7622,5,7925,1084
Shamator,2771,1817,0,2161,44
Tseminyu,8683,921,1,897,156
Tuensang,28718,15899,5,15899,370
Wokha,42564,6489,2,8042,484
Zunheboto,34527,6744,2,7518,546
