district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Aizawl,113.15,54,54,113.15,2.43,97.15,67,12.16,798.65,538,2.43,64,64
Champhai,650.36,188,188,650.36,0.20,43.81,29,4.27,1025.83,563,0.20,31,31
Hnahthial,6.02,2,2,6.02,0.24,4.80,9,10.49,45.77,62,0.24,3,3
Khawzawl,78.41,43,43,78.41,31.20,3.70,4,1.02,361.47,307,31.20,51,51
Kolasib,134.52,39,37,133.45,10.08,21.04,20,2.75,766.36,464,10.08,41,41
Lawngtlai,138.82,56,53,135.78,43.49,41.20,42,10.18,404.54,324,43.52,206,205
Lunglei,49.69,20,20,49.69,3.75,30.94,28,10.04,308.26,236,3.75,12,12
Mamit,125.62,60,60,125.62,8.73,23.20,31,4.07,569.74,541,8.73,49,49
Saiha,33.23,21,20,19.19,31.36,114.46,83,29.60,386.75,353,31.41,34,33
Saitual,93.53,28,28,93.53,11.54,48.30,23,14.64,329.99,241,11.54,36,36
Serchhip,200.47,74,70,189.21,2.11,37.41,31,4.81,778.00,560,2.11,23,23
