district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Aizawl,5,0,124,21,2,56,17,0,86,129,103
Champhai,0,10,0,6,1,34,5,12,0,10,17
Hnahthial,0,2,0,0,2,3,2,2,0,2,4
Khawzawl,1,2,0,0,0,20,4,3,0,3,7
Kolasib,3,7,2,2,0,33,8,11,2,12,21
Lawngtlai,0,6,0,9,0,50,5,7,0,6,12
Lunglei,1,15,0,13,4,21,5,14,0,16,19
Mamit,2,4,0,1,0,36,11,2,0,6,13
Saiha,0,5,0,4,1,24,1,6,0,5,7
Saitual,1,2,0,1,0,9,6,3,0,3,9
Serchhip,1,4,0,0,0,23,9,6,0,5,15
