district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Aizawl,7167.61,40553,35248,46503,45125,6854,27768,21953,75801,53986
Champhai,959.20,11853,10813,13449,6180,1725,3805,12563,22666,10105
Hnahthial,408.43,2761,4697,4158,3280,261,2605,7458,7458,0
Khawzawl,621.35,8239,5554,8426,3522,1547,3369,6321,13793,7472
Kolasib,1885.41,12287,9416,12041,12673,1344,8124,11505,21703,8797
Lawngtlai,2031.75,25620,27476,19059,21343,3686,17403,40701,53096,12396
Lunglei,2301.79,24678,26305,24812,18378,7172,14503,26777,50983,24209
Mamit,1334.15,16880,12405,16880,6210,2245,5743,29285,29285,0
Saiha,1215.02,11926,11992,7604,6426,3961,5252,8604,23918,15316
Saitual,732.41,9041,6413,9522,3818,1421,3360,9872,15454,5582
Serchhip,744.13,11144,10843,11284,7253,1012,6709,15115,21987,6873
