district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Aizawl,131375,17894,14,36571,2044
Champhai,12381,2646,3,5609,254
Hnahthial,3324,2931,1,3535,28
Khawzawl,3327,886,1,3378,38
Kolasib,10984,4669,3,10742,343
Lawngtlai,13096,12566,3,18329,188
Lunglei,16375,9055,1,15086,106
Mamit,5966,2212,3,6518,41
Saiha,8333,2410,0,5130,658
Saitual,4742,1986,0,4369,353
Serchhip,5762,1501,2,6671,180
