district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Aizawl,835714,23487.57,14,32.00,241552005,9534964.21,263861,13402.72,20307266,5841410.50,634787,11751.39
Champhai,43111,1365.31,1,0.01,18701655,716954.31,19860,687.56,2767611,827403.60,28728,427.20
Hnahthial,10292,254.81,0,0.00,32845,908.93,1600,220.66,2218,147.42,6567,86.61
Khawzawl,13559,333.27,0,0.00,42215,1112.82,399,50.37,1689,131.89,7918,117.32
Kolasib,55063,1357.68,0,0.00,241197,6180.17,31409,1446.86,16345,78153.35,43259,695.69
Lawngtlai,104815,2858.30,0,0.00,39315216,1496857.15,31358,1241.25,3978929,866761.12,31129,419.47
Lunglei,98160,2152.09,1,0.04,25459133,913886.66,18469,669.54,3278269,859945.28,57829,815.41
Mamit,34243,849.26,0,0.00,106593,2865.83,6840,1100.73,3919,327.64,21074,300.34
Saiha,41764,1080.96,0,0.00,27709026,973668.15,9124,157.77,2788181,628528.67,18420,262.09
Saitual,17215,413.26,0,0.02,53897,1390.84,402,86.18,2348,159.78,11323,199.35
Serchhip,30716,753.39,0,0.03,174946,4392.96,31077,1626.83,9985,949.55,25864,439.22
