district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
Aizawl,288628,139481,422834
Champhai,37500,11738,54956
Hnahthial,9839,3591,14677
Khawzawl,11282,2477,16734
Kolasib,43224,10749,73949
Lawngtlai,36072,16797,80764
Lunglei,44039,16894,75334
Mamit,28990,5938,44578
Saiha,21636,6914,36759
Saitual,14282,4436,23718
Serchhip,38358,4100,54247
