district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,77.16,37,0.23,14,0.00,0,0.00,149.66,103
Champhai,648.94,189,6.73,88,0.02,1,0.00,947.77,406
Hnahthial,0.00,0,0.00,0,0.00,0,0.00,1.04,5
Khawzawl,108.37,49,0.25,38,0.00,0,0.00,297.63,216
Kolasib,153.45,45,15.65,51,13.92,12,2.01,691.43,375
Lawngtlai,150.78,68,8.10,43,18.97,19,5.38,352.74,271
Lunglei,39.69,18,0.20,11,0.00,0,0.00,63.44,40
Mamit,126.39,61,29.25,93,18.15,19,3.52,515.07,415
Saiha,11.60,9,6.98,30,27.97,34,8.28,337.78,348
Saitual,95.04,31,14.63,20,0.00,0,0.00,211.89,159
Serchhip,197.07,74,13.59,54,11.81,8,1.88,627.31,396
