district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Aizawl,15445.14,1910.84,370967.79,36.41,25.34,38.43,42418.30,7540.81,965306.47,38.25,388323.77,1015265.58
Champhai,4269.72,23609.94,58.88,64.01,46.21,,6670.50,51097.90,0.00,48.36,27938.54,57768.40
Hnahthial,5652.75,564.11,1.76,39.10,43.62,,14458.23,1293.38,0.00,39.48,6218.62,15751.61
Khawzawl,3094.77,5816.48,0.00,48.77,42.69,,6345.95,13624.93,0.00,44.62,8911.25,19970.88
Kolasib,6887.52,22574.78,1.40,62.68,59.59,,10988.62,37885.57,0.00,60.28,29463.70,48874.19
Lawngtlai,10884.34,27445.35,19.56,94.47,82.90,,11521.13,33106.25,0.00,85.93,38349.25,44627.38
Lunglei,4669.67,50161.33,37.56,55.33,60.54,,8440.15,82861.19,0.00,60.10,54868.56,91301.34
Mamit,15430.75,2499.42,2.15,65.85,107.78,,23432.01,2319.06,0.00,69.64,17932.32,25751.07
Saiha,2547.06,25224.93,12.52,67.86,76.84,,3753.43,32829.44,0.00,75.95,27784.51,36582.87
Saitual,4568.26,5491.72,0.00,73.51,50.64,,6214.60,10844.19,0.00,58.97,10059.98,17058.79
Serchhip,10345.47,14308.94,46.87,50.60,57.35,,20445.08,24948.88,0.00,54.42,24701.28,45393.96
