district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,221.87,50,1270.56,50,606.00,288,24.05,2520.27,936
Champhai,76.10,20,84.96,18,24.31,20,4.34,559.67,217
Hnahthial,58.32,11,68.87,11,3.76,2,2.38,157.95,58
Khawzawl,79.13,25,127.26,25,4.28,4,2.60,164.93,69
Kolasib,59.76,21,89.88,21,85.97,42,13.93,617.31,253
Lawngtlai,49.87,39,120.99,39,78.93,63,18.86,418.47,264
Lunglei,44.68,26,80.58,26,92.67,68,9.00,1030.11,562
Mamit,45.30,9,52.90,9,88.82,45,8.97,989.75,378
Saiha,38.61,15,53.95,15,108.40,60,28.94,374.62,188
Saitual,34.55,12,53.38,12,13.10,8,7.82,167.49,81
Serchhip,45.84,16,85.71,16,27.50,18,4.91,560.53,273
