district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Aizawl,105.47,15,433.62,133,21230.22,3251,208659.01,45889
Champhai,0.00,0,8.44,3,3980.27,1268,16280.09,5621
Hnahthial,1.32,1,1.19,1,1008.57,169,4465.44,1357
Khawzawl,0.00,0,2.16,2,1005.37,409,5962.72,3115
Kolasib,41.12,40,316.97,585,3227.60,839,19657.29,9443
Lawngtlai,0.10,1,18.37,6,4778.00,923,30214.84,7592
Lunglei,21.41,4,56.80,15,5011.53,1157,34726.45,9827
Mamit,0.00,0,4.08,4,2131.05,782,11898.34,5374
Saiha,25.75,2,32.48,5,1951.41,429,18292.35,5076
Saitual,0.00,0,0.00,0,1440.38,545,6751.46,3569
Serchhip,0.51,1,14.93,3,3127.04,791,18448.29,6592
