district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Aizawl,7.74,20,21984.89,4267,0.00,0,88.10,49,9.00,11,22089.73,4347,0.00,0
Champhai,0.00,3,4125.38,1520,0.00,0,10.50,1,0.00,0,4135.88,1524,0.00,0
Hnahthial,0.00,0,1008.57,169,0.00,0,0.00,1,0.00,0,1008.57,170,0.00,0
Khawzawl,0.00,0,1005.37,409,0.00,0,0.00,0,0.00,1,1005.37,410,0.00,0
Kolasib,0.00,1,3405.79,1177,0.00,0,46.70,63,0.00,0,3452.49,1241,0.00,0
Lawngtlai,1484.33,1192,3414.34,830,0.00,0,0.04,1,0.00,4,4898.71,2027,0.00,0
Lunglei,79.52,125,5278.15,1649,0.00,0,0.00,6,0.00,0,5357.67,1780,0.00,0
Mamit,71.00,49,2032.04,711,0.00,0,9.40,6,0.00,0,2112.44,766,0.00,0
Saiha,0.00,0,1940.41,428,0.00,0,0.00,0,0.00,0,1940.41,428,0.00,0
Saitual,0.00,0,1440.38,545,0.00,0,0.00,2,0.00,0,1440.38,547,0.00,0
Serchhip,0.00,2,3127.04,791,0.00,0,0.00,1,7.00,2,3134.04,796,0.00,0
