District,CD Ratio September 2022,CD Ratio March 2023,CD Ratio September 2023,CD Ratio Since March 2023
Dhalai,95,96,96,No Change
Gomati,65,64,67,+3
Khowai,64,63,65,+2
North Tripura,63,59,60,+1
Sepahijala,69,67,59,-8
South Tripura,62,63,66,+3
Unakoti,67,66,58,-8
West Tripura,50,47,50,+3
