district,district_wise_bc_csp_points_as_per_jan_dhan_darshak_portal_sl_no,district_wise_bc_csp_points_as_per_jan_dhan_darshak_portal_no_of_villages,district_wise_bc_csp_points_as_per_jan_dhan_darshak_portal_bc_csp
Dhalai,4,151,261
Gomati,5,173,333
Khowai,3,124,200
North Tripura,7,129,453
Sepahijala,2,169,314
South Tripura,6,169,250
Unakoti,8,91,164
West Tripura,1,172,472
