district,coverage_percentage_pct_of_eligible_savings_accounts_through_any_one_digital_mode,coverage_percentage_pct_of_eligible_current_accounts_through_any_one_digital_mode,name_of_the_district_mobile_banking_upi_ussd_coverage_total_no_of_accounts_covered,name_of_the_district_mobile_banking_upi_ussd_coverage_pct_coverage,name_of_the_district_mobile_banking_upi_ussd_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,name_of_the_district_mobile_banking_upi_ussd_coverage_pct_coverage_for_women_accounts,name_of_the_district_aeps_coverage_total_no_of_accounts_covered,name_of_the_district_aeps_coverage_pct_coverage,name_of_the_district_aeps_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,name_of_the_district_aeps_coverage_pct_coverage_for_women_accounts,name_of_the_district_coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_total_no_of_accounts_covered,name_of_the_district_coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage,name_of_the_district_coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage_for_women_accounts,name_of_the_district_no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_bank_s_board_approved_policies_pct_coverage_for_women_accounts,eligible_operative_current_business_accounts_covered_through_net_banking_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_through_net_banking_pct_coverage,eligible_operative_current_business_accounts_covered_with_pos_qr_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_pos_qr_pct_coverage,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_pct_coverage,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_pct_coverage
Dhalai,100,100,110694,19.96,59758,21.58,463628,83.61,229619,82.93,554499,100,100,5751,1546,37.15,2804,67.39,2030,48.79,4161,100
Gomati,100,100,212086,30.47,105964,29.43,593109,85.21,295266,82.01,696081,100,100,11235,2530,36.14,4374,62.48,3476,49.65,7001,100
Khowai,100,100,131861,26.98,68913,27.71,392614,80.33,196355,78.95,488742,100,100,7086,1758,37.16,2808,59.35,2401,50.75,4731,100
North Tripura,100,100,141853,25.92,65995,24.07,443435,81.04,217450,79.32,547183,100,100,4464,2415,34.75,4576,65.84,2817,40.53,6950,100
Sepahijala,100,100,208291,31.27,105614,31.4,531602,79.8,260609,77.49,666180,100,100,4927,1917,27.99,3948,57.64,2943,42.96,6850,100
South Tripura,100,100,145471,21.51,67397,20.39,549371,81.23,270654,81.9,676310,100,100,2783,1797,29.56,4125,67.86,2697,44.37,6079,100
Unakoti,100,100,95552,23.55,48775,23.86,330358,81.41,166427,81.43,405798,100,100,9303,1582,31.04,2864,56.2,2422,47.53,5096,100
West Tripura,100,100,741171,48.76,306923,43.58,1189824,78.28,435944,61.9,1519924,100,100,39576,18553,50.41,21053,57.21,19277,52.38,36801,100
