district,fy_2025_26_no_of_pmjjby_claims_setteled_during_current_financial_year_from_01042,amount_in_rs,cumulative_no_of_pmjjby_claims_setteled_cumula_tive,amount_in_rs,no_of_rejected_claims,no_of_pending_claims,fy_2025_26_no_of_pmsby_claims_setteled_during_current_financial_year_from_010420,amount_in_rs,cumulative_no_of_pmsby_claims_setteled_cumula_tive,amount_in_rs,no_of_rejected_claims,no_of_pending_claims
Angul,237,47400000.00,1149,229800000.00,27,41,27,5300000.00,207,41300000.00,34,15
Balangir,217,43400000.00,1555,311000000.00,55,35,27,5400000.00,239,47600000.00,28,12
Balasore,214,42800000.00,1290,258000000.00,58,32,50,10000000.00,321,64200000.00,58,29
Bargarh,255,51000000.00,1306,261200000.00,28,15,33,6600000.00,215,43000000.00,46,14
Bhadrak,147,29400000.00,852,170400000.00,49,27,34,6700000.00,201,40100000.00,21,20
Boudh,67,13400000.00,484,96800000.00,12,13,14,2800000.00,102,20400000.00,16,5
Cuttack,306,61200000.00,1736,347200000.00,69,50,66,12100000.00,352,70200000.00,63,30
Deogarh,54,10800000.00,278,55600000.00,11,5,15,3000000.00,118,23600000.00,14,5
Dhenkanal,221,44200000.00,1431,286200000.00,50,36,50,8600000.00,270,53700000.00,42,25
Gajapati,94,18800000.00,554,110800000.00,22,19,12,2400000.00,73,14500000.00,10,4
Ganjam,549,109800000.00,3279,655800000.00,92,64,56,11200000.00,397,80400000.00,74,35
Jajpur,176,35200000.00,1030,206000000.00,29,34,35,7000000.00,283,56300000.00,42,17
Jharsuguda,110,22000000.00,535,107000000.00,10,7,15,3000000.00,127,24800000.00,10,16
Kalahandi,158,31600000.00,920,184000000.00,13,18,28,5600000.00,188,37600000.00,17,9
Kandhamal,85,17000000.00,448,89600000.00,17,6,23,4300000.00,128,25400000.00,24,5
Kendrapara,86,17200000.00,411,82200000.00,13,2,21,4000000.00,116,23200000.00,19,10
Keonjhar,100,20000000.00,481,96200000.00,12,3,48,9600000.00,217,43200000.00,33,12
Khordha,257,51400000.00,1395,279000000.00,26,36,64,12700000.00,423,82500000.00,52,27
Koraput,70,14000000.00,471,94200000.00,4,3,10,1900000.00,96,19100000.00,11,5
Malkangiri,99,19800000.00,422,84400000.00,3,8,10,1800000.00,86,17200000.00,11,3
Mayurbhanj,173,34600000.00,676,135200000.00,7,3,24,4800000.00,126,25200000.00,45,20
Nayagarh,101,20200000.00,641,128200000.00,13,8,25,5000000.00,132,26300000.00,22,10
Nuapada,105,21000000.00,493,98600000.00,7,5,8,1400000.00,89,17800000.00,16,4
Puri,106,21200000.00,664,132800000.00,28,9,32,6200000.00,200,40000000.00,28,10
Rayagada,142,28400000.00,796,159200000.00,11,14,17,3400000.00,156,31100000.00,14,4
Sambalpur,192,38400000.00,974,194800000.00,20,14,31,6200000.00,217,43000000.00,45,21
Subarnapur,91,18200000.00,510,102000000.00,8,10,10,2000000.00,97,19400000.00,14,8
