district,applications_sourced_no,amt_in_lakhs,applications_sanctioned_no,amt_in_lakhs,applications_disbursed_no,amt_in_lakhs,applications_rejected_no,amt_in_lakhs,applications_pending_no,amt_in_lakhs
Angul,1522,3072.77,674,1218.90,542,723.08,763,1539.04,84,174.07
Balangir,2427,4890.66,581,1082.98,449,676.37,1716,3458.40,128,250.18
Balasore,4886,9744.19,1857,3184.46,1509,2169.06,2841,5622.14,183,372.09
Bargarh,3010,6115.02,1341,2587.36,1175,1774.31,1601,3232.39,64,132.35
Bhadrak,1734,3468.66,676,1215.26,563,829.71,983,1973.15,74,144.44
Boudh,1164,2321.93,352,647.08,312,414.22,776,1534.93,35,70.52
Cuttack,3957,8044.98,1863,3622.28,1598,2338.32,1967,3990.16,121,250.26
Deogarh,327,634.89,122,224.07,101,149.88,188,355.36,17,33.81
Dhenkanal,2518,5163.26,1071,1861.31,870,1203.26,1316,2697.51,128,259.26
Gajapati,1094,2115.51,314,557.59,266,377.24,734,1402.85,45,86.40
Ganjam,3990,8049.40,1964,3714.84,1723,2526.59,1911,3815.84,111,225.11
Jharsuguda,937,1849.04,470,932.60,402,588.80,434,850.52,32,65.06
Kalahandi,2109,4137.08,819,1559.14,742,1075.40,1204,2303.37,82,155.90
Kandhamal,1334,2449.42,217,371.98,159,186.83,1095,1991.13,22,42.11
Kendrapara,1229,2455.44,464,803.21,374,526.51,687,1363.97,76,150.54
Keonjhar,2292,4534.17,772,1420.60,620,919.11,1362,2679.70,155,306.97
Khordha,4637,9436.25,2314,4924.44,2010,2937.90,2185,4428.04,131,263.25
Koraput,949,1902.82,284,521.66,243,349.63,631,1247.14,34,68.90
Malkangiri,589,1199.15,114,205.85,87,128.10,453,920.64,22,42.71
Mayurbhanj,2479,5085.54,988,1879.02,834,1281.66,1378,2820.91,111,227.41
Nabarangpur,1086,2227.62,240,455.70,195,272.63,797,1630.80,48,100.04
Nayagarh,1795,3259.85,825,1416.09,671,888.60,925,1639.43,45,82.64
Nuapada,1589,3189.72,686,1358.90,560,841.81,848,1682.77,54,111.19
Puri,2457,4973.73,955,1724.47,738,1065.49,1401,2828.94,93,189.75
Rayagada,1281,2538.85,493,947.68,434,614.32,762,1497.24,26,51.50
Sambalpur,2881,5778.35,1319,2359.66,1130,1651.23,1468,2891.98,89,183.77
Subarnapur,1415,2841.43,644,1102.50,557,756.47,725,1447.35,46,93.53
Sundargarh,2815,5726.12,1371,2501.25,1188,1657.34,1344,2721.37,98,198.33
