district,branches_rural,semi_urban,urban,total_branch_es,banking_correspondent_rural,semi_urban,urban,total_bc,out_of_total_bcs_male_bcs,out_of_total_bcs_female_bcs,out_of_total_bcs_transge_nder_bcs,out_of_total_bcs_wshg_membe_rs,out_of_total_bcs_fixed_bc_points,out_of_total_bcs_no_of_active_bcs,atms_rural,semi_urban,urban,total_atms
Angul,114,86,5,205,836,149,117,1102,892,210,0,73,804,774,75,178,7,260
Balangir,106,102,5,213,1363,487,158,2008,1676,332,0,128,1492,1821,33,154,5,192
Balasore,183,64,56,303,1864,340,327,2531,1762,769,0,308,2060,2231,109,71,139,319
Bargarh,124,82,5,211,862,185,31,1078,881,197,0,104,877,952,47,132,5,184
Bhadrak,115,25,36,176,1376,139,188,1703,1246,457,0,154,1347,1505,71,36,142,249
Boudh,33,23,0,56,275,68,0,343,300,43,0,17,292,254,9,33,0,42
Cuttack,246,43,220,509,1804,75,613,2492,1855,637,0,83,1918,2228,183,58,350,591
Deogarh,24,19,1,44,179,53,3,235,187,48,0,18,192,177,10,23,1,34
Dhenkanal,98,59,1,158,614,157,3,774,597,177,0,57,581,617,50,93,4,147
Gajapati,42,23,2,67,305,90,0,395,255,140,0,116,307,324,27,40,1,68
Ganjam,215,162,113,490,2384,374,431,3189,2498,691,0,212,2479,2928,136,207,244,587
Jagatsinghpur,119,58,2,179,1397,109,253,1759,1323,436,0,48,1409,1590,73,101,4,178
Jajpur,177,63,3,243,1940,205,299,2444,1871,573,0,151,1946,2240,121,141,3,265
Jharsuguda,40,71,1,112,199,84,37,320,263,57,0,20,215,275,13,112,5,130
Kalahandi,106,70,3,179,1351,160,145,1656,1450,206,0,74,1352,1517,69,82,2,153
Kandhamal,42,41,0,83,389,209,0,598,464,134,0,86,429,509,17,64,0,81
Kendrapara,104,47,1,152,663,212,57,932,692,240,0,62,671,749,62,110,4,176
Keonjhar,129,109,0,238,1317,173,270,1760,1483,277,0,60,1473,1561,64,186,1,251
Khordha,188,76,532,796,1587,132,1349,3068,2138,930,0,95,2556,2855,134,158,860,1152
Koraput,89,65,6,160,1514,146,129,1789,1561,228,0,87,764,1698,44,118,3,165
Malkangiri,43,22,2,67,362,94,1,457,379,78,0,36,353,356,17,33,0,50
Mayurbhanj,209,53,52,314,1687,229,517,2433,1778,655,0,291,1809,2167,113,96,96,305
Nabarangpur,64,41,2,107,493,182,7,682,596,86,0,38,511,523,10,56,1,67
Nayagarh,94,43,0,137,898,388,126,1412,1116,296,0,144,956,1244,63,72,0,135
Nuapada,47,32,0,79,442,54,1,497,428,69,0,36,359,381,25,51,1,77
Puri,162,30,64,256,1596,132,456,2184,1700,484,0,111,1679,1882,106,53,119,278
Rayagada,72,47,2,121,554,70,16,640,547,93,0,34,420,505,42,81,1,124
Sambalpur,82,36,100,218,435,84,438,957,784,173,0,52,764,827,103,155,189,447
Subarnapur,56,33,2,91,580,126,62,768,687,81,0,23,598,654,24,63,1,88
Sundargarh,134,55,113,302,898,160,134,1192,852,340,0,109,888,1038,85,95,157,337
