district,no_of_blocks,no_of_gps,no_of_bhqs,total_gps_bhqs,no_of_service_ready_bhqs,no_of_service_ready_gps,no_of_service_ready_bhqs_gps,no_of_acitve_connectivity_bhqs_gps,pct_of_acitve_connectivity
Angul,8,219,8,227,8,219,227,198,87.22
Balangir,14,314,14,328,14,314,328,268,81.71
Balasore,10,71,0,71,0,71,71,57,80.28
Bargarh,12,253,12,265,12,253,265,238,89.81
Bhadrak,7,30,0,30,0,30,30,21,70.00
Boudh,2,6,0,6,0,6,6,1,16.67
Cuttack,11,31,0,31,0,31,31,23,74.19
Deogarh,3,10,0,10,0,10,10,7,70.00
Dhenkanal,7,15,0,15,0,15,15,11,73.33
Gajapati,5,21,0,21,0,21,21,5,23.81
Ganjam,13,28,0,28,0,28,28,14,50.00
Jajpur,7,31,0,31,0,31,31,24,77.42
Jharsuguda,5,78,5,83,5,78,83,76,91.57
Kalahandi,12,166,7,173,7,166,173,116,67.05
Kandhamal,7,12,0,12,0,12,12,6,50.00
Kendrapara,5,18,0,18,0,18,18,14,77.78
Keonjhar,8,97,4,101,4,97,101,92,91.09
Khordha,8,22,0,22,0,22,22,15,68.18
Koraput,14,239,14,253,14,239,253,186,73.52
Mayurbhanj,18,81,4,85,4,81,85,51,60.00
Nayagarh,7,18,0,18,0,18,18,8,44.44
Nuapada,5,131,5,136,5,131,136,127,93.38
Puri,11,38,0,38,0,38,38,14,36.84
Rayagada,11,181,11,192,11,181,192,134,69.79
Sambalpur,9,138,9,147,9,138,147,142,96.60
Subarnapur,6,109,6,115,6,109,115,106,92.17
Sundargarh,17,279,17,296,17,279,296,282,95.27
