district,review_format_i_data_as_on_31122025_digital_coverage_for_businesses_current_acco,total_no_of_eligible_operative_current_business_accounts_from_01042023_to_311220,eligible_operative_current_business_accounts_covered_through_net_banking_no_of_a,pct_coverage,eligible_operative_current_business_accounts_covered_with_pos_qr_no_of_accounts,pct_coverage,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_no,pct_coverage,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facili,pct_coverage,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per
Angul,86901,27059,20346,75.19,8734.106383,32.28,15233,56.30,24898,92.01,1929
Balangir,89689,27187,20066,73.81,7203,26.49,12630,46.46,24199,89.01,1496
Balasore,103554,40795,28741,70.45,11690.51553,28.66,21350,52.33,37421,91.73,2759
Bargarh,66626,22930,16384,71.45,8334,36.35,10983,47.90,20698,90.27,1192
Bhadrak,54657,28647,20818,72.67,7641.719424,26.68,14058,49.07,25211,88.01,1110
Boudh,16159,6571,5018,76.37,3380,51.44,3427,52.15,5844,88.94,314
Cuttack,100633,67706,47880,70.72,20515.84815,30.30,35454,52.36,60090,88.75,5508
Deogarh,10421,5934,4580,77.18,3409,57.45,3786,63.80,5449,91.83,206
Dhenkanal,54718,16620,11894,71.56,6061,36.47,8795,52.92,14666,88.24,1177
Gajapati,19009,6866,4160,60.59,2938,42.79,3423,49.85,5357,78.02,358
Ganjam,116381,54467,39135,71.85,17333.88889,31.82,28563,52.44,48709,89.43,3278
Jagatsinghpur,30142,17764,10844,61.04,7136.145161,40.17,10111,56.92,14877,83.75,2221
Jajpur,92273,36589,26727,73.05,9160.477612,25.04,17212,47.04,32141,87.84,2696
Jharsuguda,23086,17668,13606,77.01,6479,36.67,10476,59.29,16208,91.74,713
Kalahandi,50820,16146,11426,70.77,5168,32.01,6656,41.22,14254,88.28,1131
Kandhamal,13641,9156,6691,73.08,2838,31.00,3416,37.31,8073,88.17,349
Kendrapara,88747,17057,12205,71.55,7104,41.65,8890,52.12,15618,91.56,1535
Keonjhar,82663,33509,25151,75.06,8203,24.48,15771,47.06,29964,89.42,2091
Khordha,169977,128152,92515,72.19,39945.86364,31.17,67957,53.03,115287,89.96,12079
Koraput,52605,21253,15530,73.07,5281,24.85,9636,45.34,18367,86.42,848
Malkangiri,39568,7512,5791,77.09,2532,33.71,3738,49.76,6652,88.55,362
Mayurbhanj,55375,22651,15468,68.29,7716,34.06,9982,44.07,20580,90.86,1100
Nabarangpur,112515,11268,7731,68.61,3724,33.05,5293,46.97,9175,81.43,482
Nayagarh,90031,13040,8517,65.31,5624,43.13,6794,52.10,11522,88.36,997
Nuapada,26106,8022,5724,71.35,3043,37.93,3836,47.82,7101,88.52,595
Puri,89674,27344,17908,65.49,9369.6,34.27,12465,45.59,24163,88.37,3157
Rayagada,30733,12562,9003,71.67,4545,36.18,5538,44.09,11235,89.44,794
Sambalpur,48187,25634,18756,73.17,8342,32.54,13689,53.40,23071,90.00,1405
Subarnapur,51157,9290,6269,67.48,3737.357143,40.23,4327,46.58,7894,84.97,472
Sundargarh,75470,44277,33310,75.23,11410.75385,25.77,20432,46.15,39770,89.82,2820
