district,crop_loan_t,a,pct,term_loan_water_resources_t,a,pct,farm_mechanisation_t,a,pct,plantation_and_horticulture_t,a,pct,forestry_and_wasteland_dev_t,a,pct,allied_advance_ah_dairy_t,a,pct,ah_poultry_t,a,pct,ah_sheep_goat_piggery_t,a,pct
Angul,2046.09,1314.94,64.27,41.20,29.64,71.94,227.36,134.62,59.21,64.05,86.71,135.38,13.32,6.89,51.76,207.73,36.53,17.59,116.96,47.74,40.82,111.50,44.42,39.84
Balangir,2930.53,1767.75,60.32,45.40,378.98,834.80,305.30,83.34,27.30,44.92,336.81,749.75,25.38,5.70,22.44,175.32,75.64,43.14,355.37,60.72,17.09,347.91,37.41,10.75
Balasore,2722.07,1938.34,71.21,98.71,16.61,16.83,225.51,223.24,99.00,238.11,210.54,88.42,6.06,10.12,166.96,199.28,163.25,81.92,150.24,89.07,59.28,18.27,69.78,381.93
Bargarh,5081.08,2285.18,44.97,122.18,49.26,40.32,459.99,119.25,25.93,159.07,150.77,94.78,29.23,7.21,24.68,187.96,56.12,29.86,123.29,53.62,43.49,136.69,29.78,21.78
Bhadrak,2348.98,1461.47,62.22,25.21,12.93,51.27,127.03,191.52,150.76,89.80,78.16,87.03,9.67,10.18,105.29,154.88,107.35,69.31,70.53,60.80,86.20,159.52,47.67,29.88
Boudh,1070.85,608.44,56.82,10.05,1.03,10.25,62.85,59.65,94.91,27.67,66.57,240.62,2.98,1.90,63.82,25.63,9.71,37.90,43.00,12.61,29.33,19.61,4.93,25.15
Cuttack,2604.22,2108.70,80.97,40.87,15.79,38.63,176.37,309.52,175.50,65.39,65.43,100.07,1.78,21.64,1217.34,213.14,258.13,121.11,217.97,116.47,53.43,122.99,114.10,92.77
Deogarh,685.44,326.95,47.70,6.83,1.69,24.77,44.94,58.42,129.99,62.85,2.44,3.89,6.87,1.74,25.33,12.95,5.79,44.70,7.89,7.49,94.94,40.52,3.66,9.04
Dhenkanal,1100.34,1017.95,92.51,39.20,3.43,8.74,159.87,111.37,69.66,7.54,22.15,293.86,3.04,7.09,233.38,169.71,35.28,20.79,213.79,24.89,11.64,18.20,21.11,116.00
Gajapati,538.69,378.01,70.17,11.77,4.47,37.92,62.18,35.62,57.28,25.05,8.86,35.37,5.03,4.39,87.28,31.50,22.87,72.61,22.07,26.44,119.79,34.80,23.68,68.06
Ganjam,4177.40,2325.17,55.66,81.18,38.78,47.78,391.27,299.44,76.53,225.10,85.34,37.91,20.01,60.51,302.35,405.70,214.63,52.90,500.75,340.79,68.06,289.52,139.35,48.13
Jagatsinghpur,1461.58,948.27,64.88,17.56,4.23,24.06,156.76,163.53,104.32,67.18,15.82,23.55,3.01,5.70,189.13,150.94,79.83,52.89,35.59,76.94,216.21,97.51,42.33,43.41
Jajpur,2853.04,2023.93,70.94,40.20,11.97,29.77,155.09,300.19,193.55,88.98,76.89,86.42,14.13,9.92,70.22,164.65,68.54,41.63,99.84,84.07,84.20,634.20,108.20,17.06
Jharsuguda,755.15,423.53,56.09,26.90,1.10,4.08,240.31,159.81,66.50,34.62,32.02,92.49,3.20,2.13,66.70,35.00,12.06,34.46,25.00,15.77,63.10,47.02,9.35,19.88
Kalahandi,2363.00,1396.76,59.11,18.08,6.83,37.77,130.35,155.12,119.00,266.43,117.06,43.94,6.67,6.03,90.42,40.26,33.20,82.46,34.71,28.96,83.43,10.45,28.24,270.23
Kandhamal,696.02,449.57,64.59,31.44,1.59,5.07,68.37,16.80,24.57,32.89,23.72,72.13,5.64,1.98,35.11,28.09,13.55,48.25,19.67,17.11,86.97,38.18,4.53,11.86
Kendrapara,2258.54,1960.71,86.81,52.02,5.28,10.15,126.78,174.49,137.63,58.11,44.70,76.92,5.93,7.90,133.36,131.60,27.32,20.76,79.02,28.91,36.59,96.79,27.95,28.88
Keonjhar,1797.78,1181.64,65.73,4.25,3.92,92.24,8.34,104.19,1249.94,2.82,28.33,1005.74,0.57,5.68,1002.82,44.53,41.22,92.57,261.46,53.45,20.44,25.35,26.49,104.49
Khordha,3178.65,4299.04,135.25,75.16,16.79,22.34,281.38,746.09,265.15,753.02,401.09,53.26,15.46,101.41,656.15,267.69,232.52,86.86,182.43,112.33,61.57,90.21,156.96,174.00
Koraput,1257.67,646.50,51.40,47.44,3.85,8.12,116.40,86.81,74.58,206.47,30.75,14.89,6.43,10.82,168.32,78.88,13.49,17.10,119.20,22.64,18.99,13.09,10.76,82.21
Malkangiri,423.60,265.90,62.77,12.33,1.85,15.01,24.67,23.72,96.14,31.17,29.13,93.46,4.78,2.93,61.32,39.55,4.90,12.40,10.93,5.21,47.68,4.87,6.93,142.17
Mayurbhanj,1910.26,1485.32,77.75,67.28,3.46,5.15,174.52,203.23,116.45,82.70,18.28,22.11,7.91,5.30,66.97,143.05,36.20,25.31,71.20,63.09,88.61,136.69,48.58,35.54
Nabarangpur,951.27,505.84,53.18,29.78,2.83,9.50,60.29,41.54,68.89,27.28,55.48,203.40,4.77,3.60,75.40,106.67,21.83,20.47,11.69,26.30,225.02,8.37,7.90,94.47
Nayagarh,1654.53,1248.07,75.43,28.03,8.29,29.59,93.40,112.05,119.96,185.04,68.46,37.00,0.85,7.52,890.16,78.81,74.76,94.86,60.55,76.62,126.55,16.04,28.94,180.48
Nuapada,639.93,375.13,58.62,48.02,1.28,2.67,75.49,36.42,48.24,35.05,15.15,43.23,12.50,1.03,8.26,42.92,85.46,199.10,32.19,128.30,398.52,92.00,18.70,20.33
Puri,2971.19,1528.69,51.45,107.05,14.18,13.24,182.34,126.49,69.37,289.45,58.98,20.37,0.28,13.67,4879.64,36.37,160.99,442.63,45.22,181.51,401.41,9.63,74.76,776.19
