district,export_credit_t,a,pct,education_t,a,pct,housing_t,a,pct,renewable_energy_t,a,pct,others_t,a,pct,social_infra_t,a,pct,total_t,a,pct
Angul,10.20,3.63,35.61,30.60,15.63,51.07,203.00,55.75,27.46,29.50,9.12,30.92,341.80,161.21,47.16,15.81,14.56,92.07,8925.78,5978.04,66.97
Balangir,5.10,0.00,0.00,38.46,9.26,24.07,198.25,61.49,31.02,4.99,6.06,121.46,291.20,132.57,45.53,77.18,2.06,2.67,9349.34,5505.49,58.89
Balasore,1198.50,194.83,16.26,87.55,35.03,40.02,544.85,202.63,37.19,27.72,27.80,100.29,1013.28,630.83,62.26,274.51,43.20,15.74,12647.41,9494.25,75.07
Bargarh,5.10,0.00,0.00,27.10,9.24,34.11,281.94,76.60,27.17,23.11,19.23,83.22,401.91,88.49,22.02,8.70,6.50,74.76,10228.88,5696.79,55.69
Bhadrak,25.50,0.00,0.00,31.19,21.67,69.48,226.76,124.36,54.84,10.18,15.96,156.68,486.00,445.29,91.62,96.82,35.44,36.61,6226.77,5017.34,80.58
Boudh,5.10,0.00,0.00,7.23,1.74,24.05,123.42,16.86,13.66,4.67,4.91,105.31,95.60,34.12,35.69,10.84,2.61,24.04,2142.29,1287.37,60.09
Cuttack,61.20,23.31,38.09,109.89,54.53,49.62,1167.85,354.20,30.33,5.75,64.15,1116.35,1735.95,488.28,28.13,66.51,99.96,150.29,17154.21,13444.49,78.37
Deogarh,0.00,0.00,,8.08,1.41,17.46,28.73,2.39,8.32,4.62,1.62,35.17,151.08,7.58,5.02,6.84,0.65,9.45,1333.47,609.98,45.74
Dhenkanal,2.55,0.00,0.00,16.83,8.92,52.99,21.08,59.57,282.60,32.60,14.68,45.03,256.00,187.73,73.33,0.68,7.63,1122.33,4479.81,2929.37,65.39
Gajapati,2.55,0.00,0.00,19.04,4.95,26.02,72.93,17.99,24.66,1.62,3.88,239.92,5.70,28.37,498.09,195.12,1.86,0.95,1727.38,1121.82,64.94
Ganjam,2.55,54.82,2149.63,112.46,37.22,33.09,718.05,324.44,45.18,70.21,24.87,35.42,1.46,518.15,35482.41,793.48,2.32,0.29,16659.43,11468.47,68.84
Jagatsinghpur,2.55,58.39,2289.67,110.48,12.95,11.73,96.73,43.87,45.35,4.79,16.54,345.22,415.36,125.83,30.29,99.92,6.27,6.28,5150.94,2871.91,55.76
Jajpur,2.55,1.08,42.19,39.58,22.32,56.40,153.09,110.63,72.27,3.59,21.97,612.67,443.08,337.24,76.11,24.74,14.13,57.11,9212.21,6414.17,69.63
Jharsuguda,5.10,2.15,42.19,20.06,8.37,41.72,183.43,47.94,26.14,19.00,6.02,31.66,101.50,46.47,45.78,82.87,1.95,2.35,6000.59,4762.29,79.36
Kalahandi,15.30,7.15,46.70,11.39,5.74,50.34,186.07,65.49,35.20,7.57,12.23,161.53,171.50,92.33,53.84,68.85,1.21,1.76,5481.49,3811.09,69.53
Kandhamal,2.55,0.00,0.00,9.89,2.46,24.84,38.35,13.10,34.16,1.31,2.37,181.87,122.40,37.82,30.90,3.40,2.05,60.38,1796.99,1150.65,64.03
