district,forwarded_to_banks_as_on_31122025_including_the_pending_no_of_a_c,amount_in_rs_lakhs,sanctioned_by_bank_from_01042025_to_31122025_no_of_a_c,amount_in_rs_lakhs,returned_as_on_31122025_no_of_a_c,amount_in_rs_lakhs,pending_as_on_31122025_no_of_a_c,amount_in_rs_lakhs
Angul,63,31.50,25,12.50,0,0.00,38,19.00
Balangir,51,28.50,31,17.50,3,1.50,17,9.50
Balasore,121,76.50,16,9.50,0,0.00,105,67.00
Bargarh,105,55.00,4,2.50,6,3.00,95,49.50
Bhadrak,141,94.50,14,14.00,4,2.00,123,78.50
Boudh,15,8.00,0,0.00,0,0.00,15,8.00
Cuttack,260,172.50,13,6.50,4,2.00,243,164.00
Deogarh,82,45.00,1,0.75,0,0.00,81,44.25
Dhenkanal,155,114.00,16,14.00,1,0.50,138,99.50
Gajapati,65,32.50,9,4.50,22,11.00,34,17.00
Ganjam,68,45.50,25,13.50,2,1.50,41,30.50
Jagatsinghpur,72,31.00,6,6.00,0,0.00,66,25.00
Jajpur,198,106.50,7,3.50,2,1.00,189,102.00
Jharsuguda,45,23.50,6,3.50,0,0.00,39,20.00
Kalahandi,144,87.00,2,1.50,71,43.50,71,42.00
Kandhamal,65,41.60,2,1.00,0,0.00,63,40.60
Kendrapara,123,61.50,34,17.00,1,0.50,88,44.00
Keonjhar,76,45.50,6,3.00,0,0.00,70,42.50
Khordha,244,215.50,34,28.00,34,29.00,176,158.50
Koraput,46,24.50,6,3.00,4,2.00,36,19.50
Malkangiri,6,3.00,1,0.50,0,0.00,5,2.50
Mayurbhanj,92,59.00,3,1.50,2,1.00,87,56.50
Nabarangpur,39,25.49,7,5.49,13,9.00,19,11.00
Nayagarh,69,41.00,6,3.00,14,7.50,49,30.50
Nuapada,39,19.50,2,1.00,0,0.00,37,18.50
Puri,122,72.50,11,6.50,0,0.00,111,66.00
Rayagada,35,17.50,1,0.50,0,0.00,34,17.00
Sambalpur,86,44.50,3,1.50,9,4.50,74,38.50
Subarnapur,42,21.00,3,1.50,21,10.50,18,9.00
Sundargarh,32,16.00,2,1.00,0,0.00,30,15.00
