district,date_of_meeting,venue,no_of_participants,unresolved_issues_only_name_of_entrepreneur,activity,bank_branch,unresolved_issues_only
Deogarh,20-11-2025,"Central Bank-RSETI
Campus DEOGARH",26,,,,
Dhenkanal,24-12-2025,RSETI Dhenkanal,18,,,,
Gajapati,12.12.2025,Town HallParalakhemundi,40,,,,
Ganjam,12.12.2025,Hotel MotiBerhampur,50,,,,
Jagatsinghpur,12-11-2025,UCO Bank RSETI,30,,,,
Jajpur,04-11-2025,JAJPUR TOWN,44,,,,
Jharsuguda,06-10-2025,Belpahar,44,,,,
Kalahandi,10-12-2025,DIC KalahandiBhawanipatna,23,,,,
Kandhamal,26-12-2025,"RBO Phulbani Confrerence
Hall",25,,,,
Kendrapara,07-11-2025,"SBIRSETI Kendrapada
Campus",25,,,,
Keonjhar,12-12-2025 ETCKeonjhar 27,,,,,,
Khordha,15-12-2025,"Jatni Municipality
Conference RoomJatni",18,Aakash Behera,Ice cream plant,PNBJatani,"PMEGP unitUnit is
running.In PMEGP portal
it is mentioned unit
closed.GMDIC will
inspect."
Koraput,15-10-2025,JEYPORE,68,,,,
Malkangiri,15-10-2025,DIC OfficeMalkangiri,31,,,,
Mayurbhanj,09-12-2025,BARIPADA,22,,,,
Nabarangpur,23-12-2025,RSETI NABARANGPUR,18,,,,
Nayagarh,12-11-2025,LBONayagarh,32,,,,
Nuapada,04-12-2025,SBI KOMNA Branch,22,,,,
Puri,24.11.2025,"DIC CONFERENCE
HALLPURI",38,,,,
Rayagada,30-12-2025,"Conference HallMSME
OfficeRayagada",45,,,,
Sambalpur,29-11-2025,"SS Conference
HallCollector's
OfficeSambalpur",21,,,,
Subarnapur,30-10-2025,DIC Conference HallSonepur,42,,,,
Sundargarh,18-11-2025,"G.M. RIC Testing
LaboratoryRourkela",39,,,,
