district,digital_coverage_for_individuals_savings_accounts_mobile_banking_+_upi_+_ussd_co,pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts,aeps_coverage_total_no_of_accounts_covered,pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts,"coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards,_in",pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts
Angul,452460.1633,45.27,122892.2497,29.20,804885.252,80.53,346272.5812,82.27,979148,97.96,410376,97.50
Balangir,372117,33.29,106297,20.30,918580,82.17,445254,85.03,1107407,99.06,518616,99.04
Balasore,715848.4192,42.39,220313.2866,28.53,1414489.736,83.76,656142.2817,84.98,1663163,98.49,758971,98.30
Bargarh,376143,33.21,126693,22.92,935074,82.56,465899,84.29,1119809,98.87,546604,98.89
Bhadrak,441664.545,37.29,138605.9568,23.72,942201.345,79.56,447783.9838,76.63,1164225,98.31,574385,98.29
Boudh,95556,29.82,29301,19.82,279075,87.10,131864,89.19,316701,98.84,146435,99.04
Cuttack,1055110.168,44.69,365900.7171,32.68,1794908.21,76.02,860562.1756,76.87,2317221,98.14,1098408,98.11
Deogarh,80422,42.28,25610,28.43,162801,85.60,78361,86.99,186987,98.31,88096,97.80
Dhenkanal,330976,38.79,92231,25.22,710522,83.27,307719,84.14,838539,98.28,360315,98.52
Gajapati,130698,31.07,40195,18.49,353170,83.96,187403,86.19,411483,97.82,213442,98.16
Ganjam,1058878.582,46.53,307557.6505,29.26,1821374.296,80.03,855434.1165,81.40,2237868,98.33,1023954,97.43
Jagatsinghpur,401465.6401,44.28,133273.5818,32.20,721501.7213,79.58,340082.5307,82.15,881822,97.27,401670,97.03
Jajpur,590710.0729,34.37,170392.6377,18.92,1238823.584,72.08,615036.9242,68.31,1684189,98.00,881191,97.87
Jharsuguda,272814,53.43,82427,37.26,409947,80.28,186184,84.17,504926,98.88,218406,98.74
Kalahandi,316585,34.59,92358,21.25,793087,86.64,388164,89.29,905297,98.90,429191,98.73
Kandhamal,160178,35.16,53784,23.68,410272,90.05,208337,91.73,447519,98.23,223404,98.36
Kendrapara,419276,38.28,130744,25.96,878118,80.18,420582,83.52,1074244,98.09,492035,97.71
Keonjhar,393270,34.26,113495,19.17,830618,72.37,402615,68.00,1139515,99.28,588564,99.40
Khordha,1943333.414,63.21,662461.385,47.03,2115437.797,68.80,1009139.614,71.64,3046990,99.10,1391498,98.78
Koraput,297776,41.08,95998,27.94,587062,80.99,285779,83.16,711422,98.14,336925,98.04
Malkangiri,111055,25.45,37073,20.69,374794,85.89,158725,88.58,431099,98.80,176722,98.62
Mayurbhanj,480973,40.13,145245,24.76,994774,83.01,492840,84.02,1163414,97.08,567409,96.73
Nabarangpur,180652,29.89,61316,21.72,524641,86.80,252082,89.29,597955,98.94,278773,98.75
Nayagarh,257064,43.59,81598,29.66,462351,78.40,214345,77.91,575961,97.66,268020,97.43
Nuapada,128145,31.24,37816,19.85,355324,86.63,169502,88.99,406887,99.20,188696,99.06
Puri,521559.3915,39.56,179641.7653,28.42,1027167.936,77.91,495197.6308,78.34,1287447,97.65,615460,97.37
Rayagada,206526,36.36,62729,22.20,488417,85.99,246682,87.30,556215,97.93,274631,97.19
Sambalpur,433014,42.57,145356,28.36,828213,81.42,429739,83.84,997033,98.02,501075,97.75
Subarnapur,147241.5579,31.84,40514.44118,18.52,369948.5758,80.00,181057.6176,82.77,457435,98.92,215910,98.70
Sundargarh,787342.7784,41.60,273735.0357,27.53,1473595.735,77.86,750253.9643,75.46,1864834,98.53,976500,98.21
