district,shishu_no_of_a_cs,sanction_ed_amt,disburse_ment_amt,kishor_no_of_a_cs,sanction_ed_amt,disburse_ment_amt,tarun_no_of_a_cs,sanction_ed_amt,disburse_ment_amt,tarun_plus_no_of_a_cs,sanction_ed_amt,disburse_ment_amt,total_no_of_a_cs,sanctione_d_amt,disburse_ment_amt
Angul,22861,89.96,89.72,24526,245.29,243.09,2016,176.99,173.58,19,2.8,2.8,49422,515.03,509.18
Balangir,24234,98.99,98.54,33161,302.71,300.73,1216,98.95,96.81,20,2.69,2.61,58631,503.34,498.68
Balasore,31406,120.73,120.28,39445,441.39,437.61,3219,268.85,265.4,36,4.9,4.87,74106,835.87,828.16
Bargarh,25674,97.78,97.52,27670,275.83,273.05,1764,148.77,147.02,19,2.78,2.78,55127,525.16,520.37
Bhadrak,31156,127.33,127.18,37412,379.53,377.99,2703,229.42,226.53,60,7.12,7.08,71331,743.41,738.78
Boudh,5170,21.02,20.91,7250,72.94,72.29,639,51.59,51.11,7,1.12,1.12,13066,146.68,145.44
Cuttack,41357,164.03,163.57,54999,591.42,586.62,4701,401,394.11,93,12.42,12.4,101150,1168.88,1156.69
Deogarh,3323,12.94,12.75,2420,30.72,29.26,408,33.87,33.15,4,0.66,0.66,6155,78.19,75.82
Dhenkanal,21647,84.6,84.24,23618,229.56,227.6,1733,150.29,149.06,42,6.13,6.13,47040,470.59,467.02
Gajapati,5328,20.36,20.28,4922,54.54,53.61,484,39.64,39.02,4,0.63,0.63,10738,115.17,113.54
Ganjam,42781,170.99,170.29,57097,629.77,624.26,6080,514.73,507.77,71,9.87,9.77,106029,1325.35,1312.09
Jagatsinghpur,22037,88.41,88.27,30627,294.71,292.88,2344,195.73,193.98,40,5.22,5.2,55048,584.06,580.33
Jajpur,28331,114.11,113.96,33695,369.08,366.95,2644,220.63,218.28,41,5.65,5.65,64711,709.48,704.84
Jharsuguda,11627,44.86,44.55,13009,131.21,129.56,827,68.51,66.82,17,2.49,2.38,25480,247.06,243.3
Kalahandi,21861,85.86,85.72,20724,197.33,196.35,1066,87.85,86.66,10,1.72,1.72,43661,372.77,370.45
Kandhamal,8981,34.29,34.22,5660,66.56,65.87,761,64.78,62.82,7,1.14,1.14,15409,166.77,164.06
Kendrapara,9166,35.27,35.12,11843,147.08,144.57,2216,190.36,187.99,12,1.75,1.75,23237,374.46,369.44
Keonjhar,15567,59.17,58.54,15800,199.95,196.23,2627,225.92,221.8,75,11.17,11.17,34069,496.2,487.74
Khordha,44446,175.44,175.01,78805,826.24,819.05,6098,1296.31,1284.69,121,16.3,16.23,129470,2314.3,2294.99
Koraput,20129,75.5,74.86,15120,158.83,156.92,1154,96.09,94.65,14,2.24,2.24,36417,332.66,328.67
Malkangiri,5398,20.99,20.76,4619,53.53,52.56,479,37.39,37.13,2,0.33,0.33,10498,112.24,110.78
Mayurbhanj,33337,122.89,121.94,25897,299.38,292.78,3785,309.87,297.42,102,14.46,14.46,63121,746.6,726.61
Nabarangpur,8135,31.74,31.57,8387,88.13,87.14,769,62.07,60.95,9,1.2,1.2,17300,183.13,180.87
Nayagarh,13976,57.53,57.27,21411,218.23,216.34,1817,155.63,150.09,33,4.4,4.4,37237,435.78,428.09
Nuapada,8798,36.07,35.87,9230,83.8,83.05,441,35.64,34.62,4,0.47,0.47,18473,155.98,154.01
Puri,25915,99.23,99.05,36116,399.32,396.16,2524,214.26,208.14,54,6.58,6.58,64609,719.38,709.92
Rayagada,11902,46.45,46.27,12094,121.16,120.26,672,55.33,54.53,10,1.58,1.58,24678,224.52,222.65
Sambalpur,21616,83.06,82.59,29196,260.58,258.15,1774,147.23,145.31,24,3.49,3.39,52610,494.35,489.44
Subarnapur,9694,38,37.71,15685,153.82,152.41,926,77.18,76.49,15,1.52,1.52,26320,270.52,268.13
Sundargarh,24170,92.17,91.03,33344,358.84,353.92,2652,218.38,210.36,31,4.31,4.21,60197,673.71,659.51
