district,target_to_bank_no_of_prj,mm_involved,forwarded_to_bank_no_of_prj,mm_involved,sanctioned_by_bank_no_of_prj,mm_involved,pct_achievement_no_of_prj,mm_involved,margin_money_claimed_no_of_prj,mm_involved,mm_disbursed_no_of_prj,mm_involved,returned_by_bank_no_of_prj,mm_involved,pending_at_bank_no_of_prj,mm_involved,pending_for_mm_disbursement_no_of_prj,mm_involved
Angul,158,587.76,197,1060.97,67,456.25,42.41,77.63,84,371.02,81,313.55,67,341.21,75,389.8,67,311.83
Balangir,184,684.48,405,1456.98,94,330.81,51.09,48.33,165,560.43,130,320.88,159,534.26,154,600,131,474.32
Balasore,194,721.68,417,1822.24,85,324.57,43.81,44.97,167,591.37,108,330.96,166,674.04,178,845.79,139,514.29
Bargarh,161,598.92,513,1778.1,125,388.95,77.64,64.94,148,438.64,171,453.93,226,722.03,164,683.91,104,306.64
Bhadrak,161,598.92,395,1580.97,71,303.56,44.10,50.68,121,476.42,92,320.57,192,604.63,142,728.66,100,415.22
Boudh,138,513.36,106,515.76,36,201.93,26.09,39.33,70,264.22,36,102.59,47,206.58,24,144.57,48,200.04
Cuttack,189,703.08,866,3172.4,147,541.92,77.78,77.08,224,819.98,170,603.37,345,1198.81,412,1531.26,184,660.22
Deogarh,130,483.6,71,234.31,24,81.17,18.46,16.78,38,132.27,46,118.66,21,44.24,27,113.91,33,122.63
Dhenkanal,173,643.56,281,1350.01,84,320.93,48.55,49.87,125,496.11,78,202.93,87,356.28,130,731.58,106,462.81
Gajapati,151,561.72,88,331.58,25,87.67,16.56,15.61,48,181.01,42,149.61,38,126.41,31,135.03,33,136.05
Ganjam,224,833.28,559,2733.87,158,832.25,70.54,99.88,378,1616.87,239,993.05,192,908.5,251,1296.91,310,1359.44
Jagatsinghpur,156,580.32,215,895.08,42,218.64,26.92,37.68,78,331.04,63,228.33,102,395.09,79,343.38,57,251.24
Jajpur,181,673.32,537,2173.1,82,442.32,45.30,65.69,122,458.97,123,432.73,230,863.09,238,990.72,96,362.99
Jharsuguda,135,502.2,100,404.77,31,125.13,22.96,24.92,63,146.59,37,119.39,48,188.46,25,108.6,51,125.23
Kalahandi,186,691.92,160,542.71,43,147.46,23.12,21.31,93,336.95,73,195.66,60,174.76,69,260.85,60,265.98
Kandhamal,156,580.32,66,188.03,30,57.19,19.23,9.85,44,158.06,35,67.63,26,117.99,12,22.67,33,141.86
Kendrapara,163,606.36,315,1147.04,66,212.93,40.49,35.12,105,324.03,100,227.37,91,343.85,167,645.02,82,277.92
Keonjhar,173,643.56,222,812.17,41,141.12,23.70,21.93,89,329.84,69,220.67,103,371.67,83,317.19,67,246.67
Koraput,176,654.72,226,1049.16,44,177.99,25.00,27.19,79,397.04,68,196.47,114,505.33,74,382.89,54,332.03
Malkangiri,150,558,115,496.64,27,108.8,18.00,19.50,57,131.54,44,146.34,39,172.48,53,236.55,29,78.26
Mayurbhanj,202,751.44,516,1516.48,108,359.25,53.47,47.81,149,447.91,174,500,200,556.07,223,667.49,104,336.6
Nabarangpur,171,636.12,184,491.84,28,105.2,16.37,16.54,73,186.7,50,116.5,93,223.99,66,165.29,54,154.66
Nayagarh,156,580.32,266,1142.7,57,254.7,36.54,43.89,81,337.18,63,266.09,87,284.58,132,667.76,65,282.36
Nuapada,150,558,213,688.94,41,97.17,27.33,17.41,78,175.62,46,137.08,101,285.39,72,290.37,58,147.83
Puri,173,643.56,491,1786.9,78,293.96,45.09,45.68,183,692.61,101,407.3,161,540.83,272,1020.76,161,603.26
Rayagada,161,598.92,191,494.9,56,159.11,34.78,26.57,94,296.85,51,156.56,79,170.13,62,197.13,66,243.7
Sambalpur,150,558,352,1239.37,41,214.1,27.33,38.37,109,342.73,52,203.84,183,613.53,134,472.7,84,265.95
Subarnapur,143,531.96,161,488.99,59,233.65,41.26,43.92,101,305.36,85,248.79,47,103.73,62,233.02,79,251.46
Sundargarh,176,654.72,260,1176.05,43,122.04,24.43,18.64,134,301.31,77,199.27,123,612.89,96,420.4,90,205.37
