district,branches_per_1_lakh_population,bcs_per_1_lakh_population,atms_per_1_lakh_population,banking_network_per_1_lakh_population
Angul,16.09,86.51,20.41,123.02
Balangir,12.92,121.77,11.64,146.33
Balasore,13.06,109.07,13.75,135.87
Bargarh,14.24,72.78,12.42,99.44
Bhadrak,11.68,113.06,16.53,141.27
Boudh,12.69,77.75,9.52,99.96
Cuttack,19.39,94.95,22.52,136.87
Deogarh,14.08,75.20,10.88,100.15
Dhenkanal,13.25,64.89,12.32,90.46
Gajapati,11.60,68.36,11.77,91.72
Ganjam,13.88,90.36,16.63,120.88
Jagatsinghpur,15.74,154.71,15.66,186.11
Jajpur,13.30,133.76,14.50,161.56
Jharsuguda,19.33,55.22,22.43,96.98
Kalahandi,11.35,105.02,9.70,126.07
Kandhamal,11.32,81.57,11.05,103.94
Kendrapara,10.55,64.71,12.22,87.48
Keonjhar,13.21,97.68,13.93,124.82
Khordha,35.35,136.25,51.16,222.77
Koraput,11.60,129.67,11.96,153.23
Malkangiri,10.93,74.53,8.15,93.61
Mayurbhanj,12.46,96.56,12.10,121.12
Nabarangpur,8.76,55.86,5.49,70.11
Nayagarh,14.23,146.66,14.02,174.91
Nuapada,12.94,81.42,12.62,106.98
Puri,15.07,128.57,16.37,160.00
Rayagada,12.50,66.12,12.81,91.43
Sambalpur,20.94,91.92,42.94,155.80
Subarnapur,14.91,125.86,14.42,155.20
Sundargarh,14.43,56.94,16.10,87.46
