district,ancillary_ativities_food_and_agro_processing_t,a,pct,others_t,a,pct,total_ancillary_activities_t,a,pct,total_agri_t,a,pct,"micro,_small_and_medium_enterprises_micro_manufacturing_t",a,pct,micro_services_t,a,pct,small_manufacturing_t,a,pct
Angul,98.11,76.52,77.99,60.86,50.00,82.15,158.97,126.52,79.58,3117.65,1928.63,61.86,3125.11,648.75,20.76,198.69,995.07,500.82,515.10,500.23,97.11
Balangir,313.07,319.76,102.14,756.08,122.78,16.24,1069.14,442.54,41.39,5643.95,3277.06,58.06,125.78,411.66,327.28,61.67,678.38,1100.05,319.60,306.12,95.78
Balasore,42.85,304.53,710.65,78.71,145.26,184.56,121.56,449.80,370.01,4480.52,3371.48,75.25,293.59,761.27,259.30,99.88,1143.99,1145.42,1474.75,845.48,57.33
Bargarh,94.94,266.29,280.47,19.59,83.96,428.65,114.53,350.25,305.82,6618.36,3208.94,48.49,833.97,512.46,61.45,129.03,742.23,575.24,954.11,415.46,43.54
Bhadrak,41.19,62.26,151.14,102.17,101.47,99.32,143.36,163.73,114.21,3346.31,2277.97,68.07,1712.75,401.43,23.44,0.00,639.54,,133.19,296.06,222.28
Boudh,35.91,23.51,65.45,49.51,7.20,14.53,85.43,30.70,35.94,1453.10,820.88,56.49,117.64,89.71,76.26,49.30,134.31,272.43,112.20,60.84,54.23
Cuttack,228.36,344.90,151.03,1361.62,160.76,11.81,1589.98,505.66,31.80,5361.20,3726.51,69.51,1457.33,1380.14,94.70,533.04,2341.53,439.28,1823.25,1541.33,84.54
Deogarh,4.92,1.76,35.84,0.64,5.60,879.02,5.56,7.37,132.54,906.31,426.44,47.05,51.61,38.33,74.26,37.66,96.52,256.32,20.40,10.72,52.57
Dhenkanal,273.67,40.48,14.79,0.00,31.85,,273.67,72.32,26.43,2043.76,1374.55,67.26,135.41,261.68,193.25,165.50,368.79,222.83,422.28,144.42,34.20
Gajapati,77.94,28.78,36.93,29.11,14.11,48.46,107.05,42.89,40.06,887.74,600.07,67.59,108.04,116.44,107.78,127.50,172.82,135.55,56.10,48.21,85.93
Ganjam,393.17,518.27,131.82,26.94,359.69,1334.90,420.12,877.96,208.98,7149.41,4800.43,67.14,1331.20,1462.22,109.84,489.81,2069.60,422.53,1647.30,701.80,42.60
Jagatsinghpur,95.67,10.45,10.93,26.99,39.20,145.26,122.66,49.65,40.48,2290.08,1521.33,66.43,44.71,250.69,560.70,37.78,444.87,1177.46,1561.45,129.26,8.28
Jajpur,38.59,39.82,103.19,61.29,46.28,75.52,99.88,86.10,86.21,4522.43,2940.36,65.02,724.17,515.35,71.16,925.33,907.88,98.11,724.17,533.57,73.68
Jharsuguda,95.37,17.55,18.41,136.98,132.28,96.57,232.35,149.83,64.49,1974.21,1912.79,96.89,784.13,434.81,55.45,807.29,638.32,79.07,476.00,425.92,89.48
Kalahandi,6.40,119.30,1863.93,254.91,68.83,27.00,261.32,188.13,71.99,3437.40,2007.27,58.39,135.86,436.13,321.00,0.00,567.16,,283.05,242.31,85.61
Kandhamal,42.33,4.72,11.16,5.10,11.57,226.93,47.43,16.30,34.36,987.90,564.46,57.14,158.10,134.03,84.77,61.63,184.74,299.78,306.00,60.54,19.78
Kendrapara,58.23,21.47,36.86,25.29,53.74,212.51,83.52,75.20,90.04,3152.26,2450.41,77.74,239.34,325.16,135.86,541.45,515.74,95.25,143.65,110.60,77.00
Keonjhar,11.49,25.06,218.07,33.15,163.93,494.52,44.64,189.00,423.36,2356.40,1705.55,72.38,4.59,377.91,8233.28,16.57,853.14,5147.17,28.05,312.97,1115.77
Khordha,79.46,1291.01,1624.68,3162.00,654.49,20.70,3241.46,1945.49,60.02,8468.65,8706.92,102.81,1943.10,2549.65,131.22,1275.00,4023.40,315.56,2550.00,4203.34,164.84
Koraput,118.30,164.13,138.74,606.68,74.50,12.28,724.98,238.63,32.92,2760.55,1168.69,42.34,0.00,484.70,,5.99,695.77,11620.37,174.58,171.85,98.44
Malkangiri,3.19,8.56,268.54,12.54,9.92,79.12,15.73,18.48,117.51,673.22,381.82,56.72,25.30,81.94,323.91,10.29,129.15,1255.68,55.25,20.77,37.60
Mayurbhanj,133.57,69.69,52.17,115.09,222.11,192.99,248.66,291.80,117.35,3012.49,2233.98,74.16,464.36,341.39,73.52,513.40,895.27,174.38,321.30,277.26,86.29
Nabarangpur,87.13,18.80,21.57,56.95,37.89,66.53,144.07,56.69,39.34,1428.04,789.90,55.31,130.65,210.35,161.00,158.01,301.76,190.97,45.93,77.65,169.07
Nayagarh,20.71,36.03,173.95,150.91,48.96,32.44,171.62,84.99,49.52,2329.96,1899.61,81.53,422.13,218.92,51.86,69.79,370.25,530.55,186.41,118.90,63.78
Nuapada,34.85,13.74,39.42,50.79,17.56,34.58,85.64,31.30,36.55,1146.92,755.44,65.87,73.88,85.94,116.32,35.49,180.68,509.15,110.50,29.29,26.51
Puri,131.40,55.06,41.90,161.36,77.12,47.79,292.76,132.18,45.15,4657.75,2562.91,55.02,465.72,364.15,78.19,582.08,648.39,111.39,326.00,146.40,44.91
Rayagada,30.32,54.61,180.11,6.04,30.84,510.94,36.36,85.45,235.02,1117.71,1154.35,103.28,71.09,238.26,335.14,38.29,391.82,1023.22,260.10,143.04,54.99
Sambalpur,25.63,136.91,534.24,19.51,57.51,294.78,45.14,194.42,430.75,3005.35,1790.92,59.59,670.48,509.39,75.97,920.55,960.01,104.29,674.90,549.17,81.37
Subarnapur,44.33,34.01,76.72,49.30,18.71,37.95,93.63,52.72,56.31,1802.35,1005.52,55.79,120.70,192.20,159.24,99.88,330.73,331.15,97.75,65.71,67.22
Sundargarh,85.43,140.02,163.91,83.00,141.27,170.20,168.43,281.29,167.01,4193.06,2417.92,57.66,1857.10,1590.38,85.64,723.63,1930.31,266.75,2086.55,1951.50,93.53
