district,"micro,_small_and_medium_enterprises_small_services_t",a,pct,medium_manufacturing_t,a,pct,medium_services_t,a,pct,khadi_and_village_industries_t,a,pct,others_under_msme_t,a,pct,total_msme_t,a,pct
Angul,680.00,703.73,103.49,382.50,454.03,118.70,0.00,471.15,,275.83,2.90,1.05,0.00,13.64,,5177.22,3789.51,73.20
Balangir,307.70,425.19,138.18,1156.00,68.74,5.95,1119.45,110.91,9.91,0.00,6.31,,0.00,9.68,,3090.20,2016.99,65.27
Balasore,824.50,873.53,105.95,1041.25,517.45,49.70,1173.00,799.99,68.20,113.52,8.49,7.48,0.00,38.24,,5020.48,4988.45,99.36
Bargarh,302.12,440.06,145.66,389.24,102.43,26.31,254.20,66.55,26.18,0.00,2.00,,0.00,6.59,,2862.67,2287.79,79.92
Bhadrak,0.00,433.80,,127.50,105.28,82.58,0.00,178.47,,30.56,5.61,18.35,0.00,36.45,,2004.00,2096.63,104.62
Boudh,137.70,93.26,67.72,25.50,8.46,33.16,0.00,13.72,,0.00,0.75,,0.00,5.21,,442.34,406.26,91.84
Cuttack,994.50,1663.88,167.31,1517.25,723.22,47.67,2320.50,911.52,39.28,0.00,9.29,,0.00,62.63,,8645.86,8633.55,99.86
Deogarh,35.90,21.13,58.85,21.25,0.07,0.34,49.00,0.28,0.57,4.00,0.98,24.39,8.00,1.88,23.50,227.82,169.90,74.58
Dhenkanal,516.12,232.54,45.06,390.15,138.21,35.43,476.85,117.88,24.72,0.00,3.04,,0.00,9.71,,2106.32,1276.29,60.59
Gajapati,136.00,97.81,71.92,51.94,5.17,9.95,53.55,18.60,34.74,9.56,0.50,5.18,0.00,5.17,,542.68,464.71,85.63
Ganjam,2635.00,1039.05,39.43,637.50,198.61,31.15,1071.00,187.97,17.55,0.00,10.01,,0.00,36.96,,7811.81,5706.23,73.05
Jagatsinghpur,90.10,170.02,188.70,55.25,24.44,44.23,58.65,36.64,62.47,283.08,1.97,0.70,0.00,28.83,,2131.03,1086.72,51.00
Jajpur,844.87,770.22,91.16,321.85,70.62,21.94,402.32,137.92,34.28,80.46,4.28,5.31,0.00,26.60,,4023.17,2966.44,73.73
Jharsuguda,986.00,520.45,52.78,127.50,278.33,218.30,318.74,430.44,135.04,114.75,2.77,2.41,0.00,5.56,,3614.41,2736.61,75.71
Kalahandi,0.00,327.86,,1164.50,22.66,1.95,0.00,16.96,,0.00,0.59,,0.00,6.01,,1583.41,1619.68,102.29
Kandhamal,102.00,107.50,105.40,0.00,17.18,,0.00,21.10,,3.47,0.46,13.26,0.00,2.83,,631.19,528.38,83.71
Kendrapara,221.00,170.74,77.26,8.50,22.11,260.15,122.40,37.49,30.63,14.07,4.90,34.84,0.00,18.13,,1290.41,1204.88,93.37
Keonjhar,574.60,965.84,168.09,828.75,220.86,26.65,1938.00,315.66,16.29,47.49,8.12,17.10,0.00,12.52,,3438.05,3067.02,89.21
Khordha,9180.00,4884.74,53.21,2443.75,3971.01,162.50,15555.00,4423.47,28.44,7.65,21.43,280.10,0.00,235.16,,32954.50,24312.19,73.78
Koraput,92.39,313.97,339.84,468.99,76.33,16.28,1809.67,106.64,5.89,4.74,1.31,27.57,0.00,12.01,,2556.35,1862.57,72.86
Malkangiri,127.50,52.34,41.05,51.00,1.02,2.01,2.55,6.26,245.52,7.33,0.70,9.49,0.00,1.48,,279.21,293.66,105.17
Mayurbhanj,350.20,334.54,95.53,204.00,39.66,19.44,344.25,58.99,17.14,49.73,16.16,32.50,0.00,10.73,,2247.23,1974.00,87.84
Nabarangpur,147.87,105.41,71.29,25.50,3.77,14.78,56.10,4.96,8.84,67.15,0.14,0.21,0.00,4.66,,631.21,708.70,112.28
Nayagarh,136.17,155.16,113.95,51.51,26.61,51.65,167.41,42.88,25.61,28.94,4.00,13.82,0.00,92.04,,1062.34,1028.75,96.84
Nuapada,81.60,61.98,75.95,72.25,0.75,1.04,107.10,6.90,6.44,0.00,1.09,,0.00,2.31,,480.82,368.94,76.73
Puri,372.57,200.71,53.87,209.57,48.78,23.28,256.15,50.87,19.86,46.57,5.64,12.11,69.86,35.94,51.44,2328.53,1500.87,64.46
Rayagada,341.70,227.92,66.70,429.25,1.10,0.26,573.75,1.96,0.34,0.00,1.19,,0.00,12.52,,1714.19,1017.80,59.38
Sambalpur,865.30,843.92,97.53,301.75,130.34,43.19,484.50,168.79,34.84,19.51,1.86,9.54,0.00,14.42,,3936.99,3177.90,80.72
Subarnapur,132.60,103.53,78.08,55.25,0.85,1.54,109.65,1.47,1.34,178.50,3.65,2.04,0.00,5.17,,794.33,703.31,88.54
Sundargarh,9806.73,2496.33,25.46,2416.95,1519.61,62.87,784.38,2060.59,262.70,330.87,11.19,3.38,0.00,31.15,,18006.21,11591.06,64.37
