district,allied_advance_fishery_t,a,pct,farm_credit_others_t,a,pct,total_farm_credit_t,a,pct,agriculture_infrastructure_storage_facilities_t,a,pct,"land_dev,_soil_conservation,_watershed_dev_t",a,pct,others_t,a,pct,total_agri_infra_t,a,pct
Angul,38.58,14.70,38.10,24.54,58.65,239.06,2891.33,1774.85,61.39,42.59,21.92,51.48,15.01,2.05,13.63,9.75,3.30,33.83,67.35,27.27,40.49
Balangir,57.92,16.82,29.03,3.36,38.12,1135.28,4291.41,2801.29,65.28,250.02,27.44,10.98,14.64,2.38,16.26,18.73,3.41,18.19,283.40,33.23,11.73
Balasore,453.78,54.41,11.99,162.15,66.61,41.08,4274.18,2841.98,66.49,48.28,45.88,95.02,24.91,28.02,112.48,11.59,5.80,50.05,84.78,79.70,94.00
Bargarh,68.91,22.84,33.14,4.24,41.03,967.63,6372.64,2815.06,44.17,82.07,40.25,49.04,20.61,2.29,11.09,28.51,1.09,3.82,131.19,43.62,33.25
Bhadrak,83.77,55.42,66.15,6.43,29.35,456.57,3075.82,2054.84,66.81,72.93,34.99,47.98,21.73,11.84,54.47,32.46,12.58,38.74,127.13,59.40,46.73
Boudh,29.76,3.77,12.68,9.02,6.32,70.11,1301.41,774.94,59.55,45.43,10.03,22.08,11.29,5.08,45.05,9.55,0.12,1.27,66.27,15.24,22.99
Cuttack,85.64,29.02,33.89,126.56,108.55,85.77,3654.93,3147.36,86.11,91.44,60.32,65.97,2.85,7.67,269.15,22.01,5.51,25.02,116.29,73.49,63.20
Deogarh,5.48,5.46,99.73,8.95,2.61,29.23,882.71,416.26,47.16,16.62,2.32,13.98,0.42,0.48,115.75,1.01,0.00,0.00,18.05,2.81,15.55
Dhenkanal,8.81,9.39,106.61,29.94,27.35,91.34,1750.43,1280.00,73.13,4.76,17.22,361.77,13.27,3.82,28.82,1.63,1.18,72.27,19.66,22.22,113.03
Gajapati,18.70,13.62,72.83,2.94,10.41,354.00,752.73,528.36,70.19,13.71,12.34,90.03,10.24,0.97,9.42,4.01,15.51,387.24,27.95,28.81,103.08
Ganjam,283.36,183.70,64.83,4.85,117.04,2411.23,6379.13,3804.75,59.64,289.81,81.64,28.17,31.10,8.34,26.80,29.26,27.74,94.82,350.17,117.72,33.62
Jagatsinghpur,58.48,25.98,44.42,2.66,66.65,2507.51,2051.28,1429.28,69.68,63.87,35.54,55.65,43.54,3.45,7.93,8.73,3.40,38.97,116.14,42.40,36.51
Jajpur,107.37,60.11,55.98,12.85,35.21,273.97,4170.36,2779.03,66.64,167.88,64.82,38.61,64.24,9.23,14.36,20.08,1.18,5.89,252.19,75.23,29.83
Jharsuguda,15.00,4.69,31.26,1.97,133.92,6804.69,1184.16,794.38,67.08,530.27,962.74,181.56,12.01,3.01,25.06,15.42,2.84,18.39,557.70,968.58,173.67
Kalahandi,33.30,9.53,28.61,2.06,18.50,896.23,2905.32,1800.24,61.96,156.09,15.77,10.10,27.52,1.21,4.38,87.16,1.92,2.21,270.77,18.90,6.98
Kandhamal,6.55,7.13,109.00,0.86,6.30,729.31,927.70,542.29,58.45,6.46,5.08,78.62,5.27,0.80,15.17,1.03,0.00,0.00,12.76,5.88,46.07
Kendrapara,201.55,25.67,12.73,0.00,36.23,,3010.33,2339.16,77.70,44.63,29.12,65.26,10.03,3.44,34.33,3.75,3.48,92.70,58.41,36.05,61.71
Keonjhar,17.55,15.32,87.31,4.14,28.64,692.35,2166.77,1488.88,68.71,88.31,24.82,28.10,1.02,2.16,211.08,55.66,0.70,1.25,145.00,27.68,19.09
Khordha,113.80,257.01,225.84,48.83,348.60,713.85,5006.64,6671.84,133.26,129.84,56.77,43.72,60.59,19.77,32.63,30.12,13.04,43.29,220.55,89.58,40.62
Koraput,45.81,19.16,41.83,29.25,67.69,231.42,1920.64,912.48,47.51,106.00,15.28,14.42,8.93,0.85,9.57,0.00,1.43,,114.93,17.57,15.29
Malkangiri,35.87,4.30,11.99,0.64,11.04,1732.33,588.42,355.92,60.49,57.72,7.17,12.43,11.36,0.22,1.92,0.00,0.03,,69.08,7.42,10.74
Mayurbhanj,68.88,18.71,27.16,26.08,20.21,77.47,2688.56,1902.37,70.76,44.10,31.20,70.75,11.19,3.95,35.32,19.99,4.66,23.31,75.28,39.81,52.89
Nabarangpur,29.11,15.98,54.89,2.35,38.41,1631.64,1231.57,719.71,58.44,44.53,8.14,18.28,6.30,1.09,17.27,1.55,4.28,276.17,52.39,13.51,25.79
Nayagarh,14.12,35.27,249.71,2.64,69.97,2647.03,2134.01,1729.96,81.07,12.16,69.21,568.94,10.90,6.17,56.65,1.28,9.28,727.19,24.34,84.66,347.83
Nuapada,19.28,48.33,250.68,2.95,6.76,229.55,1000.33,716.58,71.63,52.06,5.17,9.93,6.59,0.45,6.86,2.30,1.94,84.48,60.95,7.56,12.41
Puri,203.26,153.36,75.45,1.49,38.99,2611.34,3846.28,2351.60,61.14,34.92,49.52,141.83,392.63,9.23,2.35,91.17,20.38,22.35,518.71,79.13,15.25
Rayagada,19.71,77.65,393.92,5.91,22.80,386.08,1047.32,1049.34,100.19,20.64,17.27,83.68,11.22,0.65,5.81,2.18,1.65,75.57,34.04,19.57,57.50
Sambalpur,56.37,50.04,88.78,165.96,24.64,14.85,2885.23,1542.50,53.46,39.97,45.19,113.07,28.96,4.99,17.24,6.05,3.81,63.00,74.98,54.00,72.02
Subarnapur,24.38,13.79,56.55,11.30,5.53,48.90,1635.35,912.85,55.82,63.75,28.65,44.95,5.66,10.03,177.18,3.96,1.27,31.98,73.37,39.95,54.45
Sundargarh,35.25,13.79,39.11,57.10,21.52,37.68,3903.10,2076.40,53.20,83.34,30.48,36.57,29.59,4.14,13.99,8.60,25.62,298.08,121.53,60.23,49.56
