district,target_physical_3,financial_4,cumulative_sponsoring_physical_5,financial_6,cumulative_achievement_physical_7,financial_8,pct_achievement_physical_9_7_3,financial_10_8_4,average_loan_size_11_8_7
Angul,16130,79992.92,11149,72598.20,9222,52549.05,13.00,16.69,5.70
Balangir,12050,48264.76,7448,45186.75,6100,28452.21,13.00,14.84,4.66
Balasore,24770,129801.32,21157,165262.31,15285,95013.77,18.00,21.53,6.22
Bargarh,11750,54202.53,6988,42939.64,6659,34909.38,11.00,13.05,5.24
Bhadrak,17700,94260.46,8516,65204.10,8092,54242.86,15.00,19.51,6.70
Boudh,3980,19762.22,2485,16607.90,2017,10608.52,24.00,25.02,5.26
Cuttack,24385,128411.50,21448,163405.95,17573,122082.71,26.00,34.13,6.95
Deogarh,4450,19006.23,2694,15299.68,2650,13622.93,29.00,36.04,5.14
Dhenkanal,12090,60443.04,9598,68116.00,8070,51849.10,14.00,19.52,6.42
Gajapati,6195,25042.46,4943,38095.10,4149,25548.07,13.00,18.36,6.16
Ganjam,31365,156287.15,21704,171588.25,18250,111248.28,16.00,19.11,6.10
Jajpur,19500,105695.60,14393,94709.62,14170,87719.61,25.00,28.38,6.19
Jharsuguda,4805,23310.25,3432,23210.90,3105,17520.80,24.00,28.01,5.64
Kalahandi,9985,40572.66,10381,61129.00,7404,34471.11,30.00,32.96,4.66
Kandhamal,7645,33990.77,5980,42719.20,5001,24301.08,9.00,9.68,4.86
Kendrapara,15900,84865.11,11487,84176.22,9317,56020.54,18.00,21.28,6.01
Keonjhar,17035,81627.73,14715,99768.75,12640,72178.20,21.00,28.70,5.71
Khordha,19600,120937.00,18867,177090.39,13448,103545.50,18.00,23.72,7.70
Koraput,10045,40210.89,5853,34616.80,5133,24301.57,17.00,19.38,4.73
Malkangiri,4920,19951.28,3707,21377.00,3574,17256.27,17.00,20.09,4.83
Mayurbhanj,26535,134164.63,15011,98629.74,14266,86125.15,8.00,10.52,6.04
Nabarangpur,7290,29662.25,4983,27595.10,3750,15902.80,12.00,12.91,4.24
Nayagarh,11740,69681.05,10985,101574.50,8048,61875.24,10.00,13.85,7.69
Nuapada,5440,22154.19,4990,31572.06,3346,17691.31,12.00,13.26,5.29
Puri,21415,114356.01,20935,186940.00,13934,101164.28,18.00,25.53,7.26
Rayagada,7120,30119.29,4190,24787.20,4108,18448.57,10.00,9.74,4.49
Sambalpur,8880,48655.99,5843,41990.00,5108,31619.20,18.00,19.79,6.19
Subarnapur,5790,24992.22,3172,22784.05,2591,12559.52,18.00,21.25,4.85
Sundargarh,17500,86820.75,12747,74184.37,10378,54509.97,16.00,17.47,5.25
