district,verificat_ion_to_be_conduct_ed,verification_status_cases_verified,cases_pending_for,pct_verified,validation_status_cases_recommend,cases_pending_to,pct_recommen,approval_status_cases_approved,cases_pending_at_approver_end,pct_approved
Angul,365,310,55,84.93,294,16,94.84,294,0,94.84
Balangir,620,540,80,87.1,532,8,98.52,532,0,98.52
Balasore,680,568,112,83.53,547,21,96.3,341,206,60.04
Bargarh,505,469,36,92.87,434,35,92.54,431,3,91.90
Bhadrak,547,437,110,79.89,363,74,83.07,361,2,82.61
Boudh,191,154,37,80.63,137,17,88.96,129,8,83.77
Cuttack,756,571,185,75.53,513,58,89.84,513,0,89.84
Deogarh,272,206,66,75.74,166,40,80.58,164,2,79.61
Dhenkanal,407,337,70,82.8,271,66,80.42,271,0,80.42
Gajapati,212,193,19,91.04,138,55,71.5,138,0,71.50
Ganjam,787,613,174,77.89,431,182,70.31,425,6,69.33
Jagatsinghpur,215,195,20,90.7,172,23,88.21,172,0,88.21
Jajpur,432,343,89,79.4,305,38,88.92,305,0,88.92
Jharsuguda,298,226,72,75.84,165,61,73.01,162,3,71.68
Kalahandi,305,248,57,81.31,234,14,94.35,234,0,94.35
Kandhamal,266,247,19,92.86,247,0,100,206,41,83.40
Kendrapara,459,369,90,80.39,266,103,72.09,266,0,72.09
Keonjhar,408,347,61,85.05,342,5,98.56,341,1,98.27
Khordha,847,652,195,76.98,441,211,67.64,344,97,52.76
Koraput,304,237,67,77.96,218,19,91.98,218,0,91.98
Malkangiri,233,193,40,82.83,187,6,96.89,187,0,96.89
Mayurbhanj,913,729,184,79.85,706,23,96.84,705,1,96.71
Nabarangpur,264,210,54,79.55,154,56,73.33,154,0,73.33
Nayagarh,284,240,44,84.51,217,23,90.42,183,34,76.25
Nuapada,250,190,60,76,100,90,52.63,95,5,50.00
Puri,796,630,166,79.15,462,168,73.33,462,0,73.33
Rayagada,424,357,67,84.2,343,14,96.08,343,0,96.08
Sambalpur,355,306,49,86.2,194,112,63.4,193,1,63.07
Subarnapur,399,339,60,84.96,330,9,97.35,330,0,97.35
Sundargarh,479,380,99,79.33,261,119,68.68,257,4,67.63
