district,NULM AMT NPA,NO NULM NPA,O/S NULM Amt.,O/S No. NULM,NRLM NPA AMT,NRLM NPA NO,A/C NRLM Amt Irregular,ular NRLM A/C No Irreg-,NRLM O/S Amt.,NRLM O/S No.
East Garo Hills,0,0,0,0,108.44,233,13.34,34,682.57,747
East Jaintia Hills,0,0,0,0,30.58,25,30.58,25,1029.3,854
East Khasi Hills,11.96,20,21.05,28,105.15,125,16.65,20,2823.21,2364
Eastern West Khasi Hills,0,0,0,0,63.52,55,40.94,26,1531.4,868
North Garo Hills,0,0,0,0,129.61,193,10.63,33,558.81,689
Ri Bhoi,0,0,0,0,34.26,45,23.06,40,1701.94,1572
South Garo Hills,1.33,1,3.72,5,109.96,138,48.62,66,425.43,449
South West Garo Hills,0,0,0,0,26.43,35,15.92,16,705.96,688
South West Khasi Hills,0,0,0,0,18.66,16,16.48,12,802.27,616
West Garo Hills,18.68,22,39.29,46,235.04,322,96.44,141,2050.57,1860
West Jaintia Hills,6.26,5,14.46,12,59.26,63,19.59,21,1808.28,1464
West Khasi Hills,0,0,0.19,1,34.21,29,33.83,27,1239.15,790
