district,Tot (PS) Amt. NPA Other,Tot (PS) No. NPA Other,PS Amt Other,PS No Other,able Amt Renew-,able No Renew-,Infra Social Amt,Infra Social No,Amt Housing PS,PS No Housing,PS Amt Education,PS No Education,Amt Export,No Export
East Garo Hills,68.53,37,0.54,4,0,0,13.59,5,46.9,24,7.5,4,0,0
East Jaintia Hills,312.27,49,211.1,33,0,0,3.67,2,83.21,8,14.29,6,0,0
East Khasi Hills,2159.74,1856,1579,1740,0,0,48.79,16,333.46,36,198.49,64,0,0
North Garo Hills,203.36,92,0,0,0,0,14.86,8,173.52,80,14.98,4,0,0
Ri Bhoi,358.87,873,237.62,836,0,0,6.74,3,76.19,15,38.32,19,0,0
South Garo Hills,118.99,47,0,0,0,0,24.74,12,94.25,35,0,0,0,0
West Garo Hills,629.85,250,247.53,165,0,0,32.04,13,331.36,65,18.92,7,0,0
West Jaintia Hills,341.8,118,145.24,68,0,0,16.56,10,135.1,23,44.9,17,0,0
West Khasi Hills,116.46,32,65.47,14,0,0,2.61,1,19.73,4,28.65,13,0,0
