district,Tot Minority Loan Amt. O/S to,O/S Loan No. Minority to Tot,JAINS Amt.,No. JAINS,Amt. TRIANS ZORAS-,No. TRIANS ZORAS-,Amt. SIKHS,No. SIKHS,Amt. DHISTS BUD-,No DHISTS BUD-,Amt. LIMS MUS-,No LIMS MUS-,Amt TIANS CHRIS-,No. TIANS CHRIS-
East Garo Hills,1158.06,597,0,0,2.6,1,7.96,14,12.12,1,559.76,203,575.62,378
East Jaintia Hills,7769.53,3683,22.5,3,0,0,0,0,2.73,2,963.06,200,6781.24,3478
East Khasi Hills,122792.15,43061,267.88,21,0,0,1712.64,674,754.89,183,8863.4,2254,111193.34,39929
North Garo Hills,652.6,342,0,0,0,0,0,0,0.63,1,152.98,45,498.99,296
Ri Bhoi,29885.04,16829,261.14,19,1.7,1,2469.19,46,218.56,50,12811.83,2707,14122.62,14006
South Garo Hills,665.1,469,7.8,1,0,0,0,0,0,0,170.3,34,487,434
West Garo Hills,20285.05,10944,3.09,1,0,0,70.86,23,35.7,17,9760.6,4162,10414.8,6741
West Jaintia Hills,20677.49,8731,1.77,1,0,0,3.36,12,0.52,2,301.49,88,20370.35,8628
West Khasi Hills,9244.46,5913,0,0,0,0,15.89,9,9.76,8,355.51,164,8863.3,5732
