district,No of Seeded Aadhaar,No of Rupay Activated Card,No of Issued Rupay Card,held Amt in the A/c Deposits,No of Balance A/c Zero,Total No. PMJDY,Female No,Male No,Urban No,Rural No
East Garo Hills,10318,9085,24936,1243.26,1947,33918,20004,13914,7859,26059
East Jaintia Hills,13559,8266,21676,4358.67,1050,43570,26530,17040,1811,41759
East Khasi Hills,47823,46427,83601,20492.34,17370,165093,96559,68534,56405,108688
Eastern West Khasi Hills,9498,6617,15474,3841.73,1124,43722,21664,22058,4419,39303
North Garo Hills,12167,11227,41049,1493.91,1012,47553,26980,20573,2496,45057
Ri Bhoi,18421,18076,38717,4920.18,3289,63031,38352,24679,5255,57776
South Garo Hills,6616,6079,12656,876.38,1884,21476,11977,9499,4681,16795
South West Garo Hills,14818,14796,36844,1968.17,1520,49453,26658,22795,1337,48116
South West Khasi Hills,4077,6099,12869,1513.93,1649,18537,12075,6462,1038,17499
West Garo Hills,47414,42126,142186,6040.51,11150,189843,109097,80746,18613,171230
West Jaintia Hills,18460,15646,34313,5269.29,2339,68738,45123,23615,15767,52971
West Khasi Hills,9377,8544,20455,2574.77,1670,49629,30391,19238,7843,41786
