district,OPS Total Amount O/S,O/S OPS No. Total,Other Amt. PS,No. Other PS,able Renew- Amt.,No. Renewable,Amt. Infra Social,Infra Social No.,PS Amt. Housing,PS No. Housing,PS Amt. Education,PS No. Education,Amt. Export,No. Export
East Garo Hills,946.66,1628,340.66,1510,0,0,17.68,6,478.86,74,109.46,38,0,0
East Khasi Hills,47459.24,19750,6547.61,14543,1.23,1,108.17,33,30739.95,3020,10062.28,2153,0,0
Ri Bhoi,10033.02,3143,584.65,2048,359.65,1,13.23,6,8269.98,778,805.51,310,0,0
West Garo Hills,6714.42,4120,945.59,3132,0,0,79.37,20,5020.88,716,668.58,252,0,0
West Khasi Hills,1491.31,280,65.47,14,0,0,2.61,1,1141.84,140,281.39,125,0,0
