district,Tot NPA MSME Amt. (PS),Tot NPA MSME No. (PS),MSME Other Amt,No MSME Other,KVIC Amt,No KVIC,Medium Amt,No Medium,Small Amt,Small No,Micro Amt,Micro No
East Garo Hills,387.17,855,9.42,4,13.05,13,0,0,0,0,364.7,838
East Jaintia Hills,935.82,280,0,0,5.08,4,0,0,277.45,17,653.29,259
East Khasi Hills,11850.26,3614,5.95,12,151.6,59,2611.67,11,1776.05,232,7304.99,3300
North Garo Hills,415.02,594,2.85,1,0,0,0,0,0,0,412.17,593
Ri Bhoi,2327.27,839,22.76,35,27.7,25,0,0,1393.58,21,883.23,758
South Garo Hills,379.71,432,6.01,5,17.86,14,0,0,0,0,355.84,413
West Garo Hills,2603.89,2290,44.58,26,35.98,20,0,0,610.76,254,1912.57,1990
West Jaintia Hills,2202.69,878,2.14,13,10.62,11,0,0,793.1,103,1396.83,751
West Khasi Hills,671.32,409,0,0,9.13,10,0,0,21.99,3,640.2,396
