district,branches_rural,branches_semi_urban,branches_urban,branches_total,atm_total,csp_total,deposit_amt_lakhs,cdr,pmjdy_rural,pmjdy_urban,edu_loan_os_no,edu_loan_os_amt,women_os_no,women_os_amt,sc_st_os_no,sc_st_os_amt,pmsby_no,pmjjby_no,apy_no,digital_txn_upi_no,inactive_csps,rupay_active_pmjdy,aadhaar_sb_accounts,rupay_kcc,minority_disb_amt,sui_os_no,mudra_os_no
East Garo Hills,5,9,1,15,12,296,59350.17,74.35,25072,9272,29,101.66,5936,11224.48,3782,4268.36,24884,8175,2334,67249.15,7,2818,46946,1244,837.77,0,
East Jaintia Hills,23,2,0,26,17,156,169582.14,#DIV/0!,49226,3417,61,157.21,2941,8251.6,5842,13426.11,36675,21235,3516,125195.26,18,17714,9700,31,2353.88,3,
East Khasi Hills,58,22,103,190,297,1006,2723095.7,45.67,128351,71135,2951,23927.78,72329,242432.57,70659,210968.37,195977,92288,25669,1236308.53,135,77443,187367,5657,26949.55,55,
Eastern West Khasi Hills,7,3,1,12,5,60,55598.33,17.87,36551,6214,,,7179,9297.58,10703,13355.84,22261,13525,1577,30234.33,17,12335,5513,745,,,
North Garo Hills,8,4,0,13,11,88,46490.77,#DIV/0!,59327,7357,27,77.69,4665,9832.3,5286,5941.78,41209,13828,11505,73396.88,13,9686,53192,495,165.14,3,
Ri Bhoi,32,16,1,48,46,201,248586.14,117.95,70304,22437,467,1495.7,31528,56562.45,24976,39391.35,78473,36778,7005,210600.57,23,22030,29985,6633,6222.38,20,876
South Garo Hills,3,5,1,9,6,66,30172.1,59.15,20426,12697,14,42.85,1959,5678.14,3464,3305.82,18032,6648,2281,39639.49,11,1833,29223,37,155.12,0,
South West Garo Hills,12,2,0,15,10,238,42236.1,#DIV/0!,59510,4562,,,4593,7635.47,6220,8100.49,56173,15402,5729,108129.77,12,4697,73045,929,,4,
South West Khasi Hills,9,1,0,10,10,58,34396.55,#DIV/0!,19571,6231,,,3009,5369.75,4461,5730.83,15978,6656,1079,23105.68,15,8156,10099,359,,0,
West Garo Hills,20,45,6,46,56,769,297787.74,48.10,205628,33229,334,1372.3,23790,53101.22,15761,26563.27,137823,40339,19473,371224.86,51,16903,192939,3274,5780.99,24,
West Jaintia Hills,18,27,3,45,36,194,316261.07,25.35,65902,21215,206,586.58,11034,28346.63,11808,40102.13,59570,28956,6251,127511.03,23,12891,38673,1352,4405.81,4,
West Khasi Hills,9,10,1,19,12,231,71169.37,34.88,48619,12223,167,401.07,6582,10322.75,9856,14242.57,28321,14891,1924,56236.94,24,12587,14793,2287,2061.21,0,
