Sl No.,Bank Name,Agriculture (NPS) No.,Agriculture (NPS) Amt.,MSME (NPS) No.,MSME (NPS) Amt.,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt.,Education (NPS) A/C,Education (NPS) Amt.,Housing (NPS) A/C,Housing (NPS) Amt.,Personal Loans under NPS A/C,Personal Loans under NPS Amt.,Others NPS A/C,Others NPS Amt.,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt.
1,BOB,0,0,0,0,0,0,6,55.64,42,829.19,293,2460.87,306,5210.74,647,8556.44
2,BOI,0,0,0,0,0,0,0,0,0,0,180,484.33,28,273.98,208,758.31
3,BOM,0,0,0,0,0,0,0,0,0,0,1,5,24,26.86,25,31.86
4,CAN,0,0,0,0,0,0,4,25.43,32,694.7,283,1753.73,121,915.66,440,3389.52
5,CBI,0,0,0,0,0,0,0,0,0,0,373,2333.55,39,437.71,412,2771.26
6,IND,0,0,0,0,0,0,0,0,8,327.28,102,1132.74,0,0,110,1460.02
7,IOB,1,2,0,0,0,0,1,12.89,4,105,18,101.62,40,177.04,64,398.55
8,PNB,0,0,0,0,0,0,82,1159.1,24,458.72,185,1215.17,233,1538.59,524,4371.58
9,PSB,0,0,0,0,0,0,0,0,0,0,1,4.5,0,0,1,4.5
10,SBI,0,0,0,0,0,0,207,1540,694,13228.97,398,1030.67,17043,201539.29,18342,217338.93
11,UCO,0,0,0,0,0,0,0,0,10,208.99,3,7.8,95,441.31,108,658.1
12,UNI,2,0.77,0,0,0,0,53,358.22,3,149.84,158,818.46,161,1527.67,377,2854.96
Pub,Total,3,2.77,0,0,0,0,353,3151.28,817,16002.69,1995,11348.44,18090,212088.85,21258,242594.03
1,AXIS,0,0,0,0,0,0,0,0,0,0,183,388.19,820,49899.04,1003,50287.23
2,BAND,0,0,0,0,0,0,0,0,0,0,1,0.5,2369,2550.73,2370,2551.23
3,FED,0,0,0,0,0,0,0,0,0,0,7,9.7,385,3742.1,392,3751.8
4,HDFC,5,27.56,0,0,0,0,0,0,1,7.5,1177,7433.14,4083,13363.1,5266,20831.3
5,ICICI,0,0,0,0,0,0,1,27.05,6,163.1,234,1725.25,6366,8923.07,6607,10838.47
6,IDBI,0,0,0,0,0,0,0,0,1,9.5,27,1555,47,2084.16,75,3648.66
7,IDFC,0,0,0,0,0,0,0,0,0,0,1,0.41,4767,3583.2,4768,3583.61
8,INDUS,0,0,0,0,0,0,0,0,0,0,0,0,365,3998.71,365,3998.71
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0,5,3454.51,5,3454.51
10,SIB,0,0,0,0,0,0,0,0,0,0,29,63.98,19,267.53,48,331.51
Priv,Total,5,27.56,0,0,0,0,1,27.05,8,180.1,1659,11176.17,19226,91866.15,20899,103277.03
1,ESAF,0,0,0,0,0,0,0,0,0,0,0,0,53,106.83,53,106.83
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,11,0,0,0,0,0,0,0,0,0,0,0,11,0,22,0
4,UJJIVAN,0,0,0,0,0,0,0,0,0,0,0,0,363,347.33,363,347.33
Small FB,Total,11,0,0,0,0,0,0,0,0,0,0,0,427,454.16,438,454.16
1,MLRB,0,0,0,0,0,0,1,10.37,38,971.41,943,6182.38,393,2010.87,1375,9175.03
RRB,Total,0,0,0,0,0,0,1,10.37,38,971.41,943,6182.38,393,2010.87,1375,9175.03
1,JUCB,0,0,0,0,0,0,0,0,1,46.95,84,331.8,74,154.23,159,532.98
2,MCAB,0,0,0,0,0,0,0,0,0,0,423,3337.23,503,1302.85,926,4640.08
3,SCUB,0,0,0,0,0,0,0,0,16,305,91,417.3,41,254.4,148,976.7
4,TCUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand,Total,19,30.33,0,0,0,0,355,3188.7,880,17506.15,5195,32793.32,38754,308131.51,45203,361650.01
