Sl No.,Bank Name,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
1,BOB,3987,23173,487,3155.36
2,BOI,796,2164.43,118,430.03
3,BOM,5,8.98,5,8.99
4,CAN,2223,7264.31,728,1927.83
5,CBI,936,6519.78,341,1975.18
6,IND,263,2068.99,41,1016.85
7,IOB,402,2939,56,422.3
8,PNB,2614,15406.7,380,3295.57
9,PSB,98,139.5,6,9.5
10,SBI,63873,238324.06,16511,49935.69
11,UCO,420,1765.24,84,300.96
12,UNI,1324,5225.12,411,1222.68
Pub,Total,76941,304999.11,19168,63700.94
1,AXIS,10175,8060.83,2667,2365.15
2,BAND,9824,4968.25,3228,2862.94
3,FED,402,1682.97,198,1293.21
4,HDFC,13353,20488.69,2792,6414.06
5,ICICI,2011,10603.11,1230,2576.25
6,IDBI,166,2685,39,1337.9
7,IDFC,4252,2071.48,1279,762.93
8,INDUS,655,4350.21,125,1258.92
9,KMB,1,14.66,1,30.74
10,SIB,83,177.05,38,108.87
11,YES,11,1.13,2,19.71
Priv,Total,40933,55103.38,11599,19030.68
1,ESAF,0,0,0,0
2,JSF,0,0,0,0
3,SSFB,975,850.01,29,81.9
4,UJJIVAN,9026,3795.14,2988,2041.52
Small FB,Total,10001,4645.15,3017,2123.42
1,MLRB,42900,74616.78,7692,11860.06
RRB,Total,42900,74616.78,7692,11860.06
1,JUCB,797,4335.9,82,326.1
2,MCAB,1723,431.48,16,8.5
3,SCUB,2250,3923.14,468,889.45
4,TCUB,0,0,0,0
Grand,Total,175545,448054.94,42042,97939.15
