Sl No.,Bank Name,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Pro- duction A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechani- sation No,Farm Mechanisa- tion Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
1,BOB,78,123,0,0,21,23.66,0,0,12,19.83,0,0,0,0,0,0,14,178.6,125,345.09
2,BOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CAN,2,2.51,0,0,16,12.26,0,0,15,19.97,3,2.27,1,5.87,0,0,752,824.81,789,867.69
5,CBI,19,19.97,0,0,4,1.69,0,0,14,14.94,0,0,0,0,0,0,3,2.35,40,38.95
6,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8.72,33,8.72
7,IOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PNB,11,29.87,0,0,8,14.19,9,58.6,4,20.59,0,0,0,0,0,0,581,2602.3,613,2725.55
9,PSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SBI,67,36.3,0,0,64,173.62,0,0,174,653.17,22,85.49,0,0,0,0,0,0,327,948.58
11,UCO,17,5.67,0,0,1,0.4,0,0,1,0.23,0,0,0,0,0,0,0,0,19,6.3
12,UNI,6,12.27,0,0,18,24.52,0,0,5,8.57,0,0,0,0,0,0,95,568.25,124,613.61
Pub,Total,200,229.59,0,0,132,250.34,9,58.6,225,737.3,25,87.76,1,5.87,0,0,1478,4185.03,2070,5554.49
1,AXIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BAND,0,0,0,0,0,0,0,0,126,48.48,10,4.28,0,0,0,0,0,0,136,52.76
3,FED,0,0,0,0,0,0,5,17.53,0,0,0,0,0,0,0,0,0,0,5,17.53
4,HDFC,0,0,0,0,0,0,4065,945.86,0,0,0,0,0,0,0,0,1154,717.27,5219,1663.13
5,ICICI,10,9.91,0,0,18,15.24,0,0,32,113.8,0,0,0,0,0,0,406,587.81,466,726.76
6,IDBI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31.25,12,31.25
7,IDFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priv,Total,10,9.91,0,0,18,15.24,4070,963.39,158,162.28,10,4.28,0,0,0,0,1572,1336.33,5838,2491.43
1,ESAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.64,2,8.64
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,UJJIVAN,0,0,0,0,1,0.97,0,0,0,0,0,0,0,0,0,0,11,15,12,15.97
Small FB,Total,0,0,0,0,1,0.97,0,0,0,0,0,0,0,0,0,0,13,23.64,14,24.61
1,MLRB,398,196.61,0,0,81,122.02,0,0,37,33.34,14,10.38,0,0,0,0,935,998.77,1465,1361.12
RRB,Total,398,196.61,0,0,81,122.02,0,0,37,33.34,14,10.38,0,0,0,0,935,998.77,1465,1361.12
1,JUCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,MCAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SCUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TCUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand,Total,608,436.11,0,0,232,388.57,4079,1021.99,420,932.92,49,102.42,1,5.87,0,0,3998,6543.77,9387,9431.65
